time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
11:56:56.296,654,204,641,221,637,479,624,461,132,420,211,161,1202,111,1392,752,636,435,616,390,424,817,276,362,
11:56:56.390,628,468,652,207,136,419,590,206,216,162,637,229,627,468,651,206,146,769,589,204,214,162,636,228,
11:56:56.486,622,458,127,427,215,162,635,477,145,415,637,229,622,458,125,427,213,161,635,477,142,415,637,228,
11:56:56.582,125,427,622,459,665,201,213,161,649,484,583,315,124,427,622,459,665,200,212,160,649,484,582,314,
11:56:56.675,124,427,213,161,623,459,583,315,665,201,649,484,122,427,211,160,623,459,582,314,665,200,649,484,
11:56:56.767,123,428,211,161,582,315,639,223,623,459,656,203,123,428,211,161,582,314,639,222,623,459,656,202,
11:56:56.858,123,428,212,161,583,315,623,459,639,223,656,203,122,428,211,160,582,314,622,459,638,222,655,202,
11:56:56.948,122,428,582,315,211,161,639,223,623,459,656,203,122,428,582,315,211,161,639,223,623,458,656,202,
11:56:57.041,123,428,582,315,639,223,211,161,623,459,656,203,123,427,582,314,639,223,211,161,623,458,656,202,
11:56:57.133,123,428,582,315,639,223,204,163,623,459,656,203,123,428,582,315,639,223,204,163,623,458,656,202,
11:56:57.222,123,428,204,163,582,315,639,223,623,459,592,469,122,428,203,163,581,315,638,223,622,458,591,468,
11:56:57.313,204,163,123,428,582,315,592,469,383,215,645,148,204,162,123,427,582,314,592,468,383,214,644,148,
11:56:57.405,204,163,123,428,582,315,592,469,383,215,639,223,204,162,123,427,582,314,592,469,383,214,639,222,
11:56:57.496,123,428,204,163,582,315,639,223,592,469,383,215,122,428,204,163,582,315,639,223,591,468,383,215,
11:56:57.587,123,428,204,163,582,315,639,223,592,469,383,215,122,428,203,163,581,315,638,223,592,469,382,214,
11:56:57.677,123,428,204,163,582,315,592,469,639,223,623,459,123,427,204,162,582,314,592,468,639,222,623,459,
11:56:57.769,123,428,204,163,582,315,592,469,639,223,623,459,123,427,204,162,582,314,592,468,639,222,623,458,
11:56:57.859,123,428,204,163,582,315,592,469,639,223,383,215,122,428,204,163,582,315,591,468,639,222,383,215,
11:56:57.950,123,428,204,163,582,315,592,469,639,223,623,459,123,427,203,162,581,314,591,469,638,222,622,459,
11:56:58.044,123,428,204,163,582,315,592,469,639,223,623,459,122,428,203,163,582,314,592,468,639,223,623,459,
11:56:58.139,123,428,204,163,582,315,639,223,592,469,623,459,123,427,204,162,581,315,639,223,592,468,622,458,
11:56:58.231,123,428,204,163,582,315,592,469,639,223,623,459,122,428,204,163,582,314,592,469,638,223,622,459,
11:56:58.321,123,428,204,163,582,315,639,223,592,469,623,459,123,427,203,163,581,315,639,222,591,468,622,458,
11:56:58.412,123,428,204,163,582,315,592,469,639,223,623,459,122,427,203,163,581,314,591,468,639,222,623,459,
11:56:58.503,123,428,204,163,582,315,592,469,639,223,623,459,123,428,204,162,582,314,592,469,639,223,623,458,
11:56:58.593,123,428,204,163,582,315,639,223,592,469,623,459,122,427,203,162,581,315,638,222,591,468,622,458,
11:56:58.684,123,428,204,163,582,315,592,469,639,223,623,459,122,427,203,162,582,314,591,468,638,222,623,458,
11:56:58.775,123,428,204,163,582,315,639,223,592,469,383,215,123,427,204,162,582,314,639,222,592,468,382,214,
11:56:58.866,123,428,204,163,582,315,592,469,639,223,623,459,122,428,203,162,581,314,591,468,638,222,622,458,
11:56:58.956,204,163,122,428,582,315,639,223,592,469,623,459,203,162,121,428,581,314,638,222,591,468,622,458,
11:56:59.047,122,428,582,315,204,163,639,223,592,469,623,459,121,428,581,314,203,163,638,222,591,469,622,458,
11:56:59.140,122,428,582,315,203,163,639,223,592,469,382,215,122,428,582,315,203,163,639,223,592,469,382,215,
11:56:59.232,122,428,582,315,203,163,639,223,592,469,623,459,122,428,582,315,203,163,639,223,592,469,623,459,
11:56:59.323,123,428,204,163,582,315,592,469,639,223,623,459,125,428,205,163,583,315,593,468,640,223,624,459,
11:56:59.414,125,428,584,315,206,163,594,469,641,223,384,215,122,428,583,314,204,162,593,469,641,222,383,214,
11:56:59.505,121,428,584,315,624,460,211,160,641,223,593,469,118,428,583,314,624,460,209,159,641,222,592,469,
11:56:59.596,118,429,624,461,583,315,209,159,641,222,593,472,118,429,625,461,584,315,209,158,642,221,594,472,
11:56:59.687,585,315,203,162,120,429,626,461,642,222,595,471,586,315,202,161,118,429,627,461,643,221,596,471,
11:56:59.778,118,430,586,315,203,161,627,462,644,222,596,473,113,431,585,315,200,160,627,463,644,221,595,473,
11:56:59.869,586,315,207,158,114,432,628,463,645,221,596,474,586,315,204,157,110,433,628,464,646,220,596,475,
11:56:59.958,110,433,586,315,628,464,198,159,596,475,646,221,109,433,587,315,629,464,197,158,597,475,647,220,
11:57:00.050,110,433,588,315,198,159,630,465,647,220,220,279,104,434,587,315,194,158,630,466,647,219,216,278,
11:57:00.141,104,435,588,315,202,155,630,466,647,219,676,195,100,436,588,315,199,154,631,467,648,218,677,194,
11:57:00.232,101,436,200,155,589,316,632,468,649,219,598,476,100,436,199,154,590,316,633,468,650,218,599,476,
11:57:00.323,101,437,192,157,590,316,633,468,651,219,380,211,98,438,191,156,591,316,634,469,653,218,380,210,
11:57:00.413,98,438,591,316,199,154,635,470,380,211,681,193,93,439,590,316,196,153,635,471,378,211,681,192,
11:57:00.503,92,440,591,317,635,472,196,156,653,219,600,481,88,441,591,317,636,473,193,155,654,218,600,482,
11:57:00.593,89,442,592,317,636,473,654,218,193,152,666,501,89,442,594,317,639,473,657,217,194,151,669,501,
