time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
12:19:03.357,838,104,800,129,815,110,45,53,818,611,858,83,907,37,796,130,813,112,76,203,816,606,901,31,
12:19:03.441,755,550,770,574,819,616,50,55,785,147,833,108,755,550,770,574,819,617,48,55,785,146,833,107,
12:19:03.522,755,550,79,41,770,575,819,617,785,147,734,456,755,550,78,40,770,575,819,617,785,146,734,456,
12:19:03.606,71,44,757,551,771,575,46,55,735,456,821,618,68,43,757,551,771,576,43,54,735,456,821,619,
12:19:03.688,764,559,737,458,773,577,59,50,845,644,92,256,764,559,737,458,773,578,56,49,845,645,89,255,
12:19:03.771,846,645,773,578,37,55,90,256,764,560,57,49,846,645,773,578,35,54,88,255,764,560,55,48,
12:19:03.854,847,646,35,55,331,141,774,579,786,154,88,255,847,646,34,54,330,140,774,579,786,153,86,254,
12:19:03.936,848,647,35,54,774,579,87,255,786,153,677,380,848,647,34,54,774,578,87,255,785,153,677,380,
12:19:04.019,848,647,35,54,774,579,87,255,786,153,677,380,848,646,35,54,774,578,87,255,786,153,677,379,
12:19:04.102,848,647,35,54,774,579,87,255,331,141,677,380,847,646,35,54,773,578,87,255,331,141,676,379,
12:19:04.187,35,54,848,647,774,579,331,141,87,255,677,380,35,54,848,646,774,578,331,141,87,254,677,379,
12:19:04.270,847,646,35,55,331,141,774,579,786,154,87,255,846,645,35,55,331,140,773,578,785,154,87,254,
12:19:04.353,847,646,35,55,331,141,677,380,88,255,774,579,847,646,34,55,330,141,676,379,87,254,773,578,
12:19:04.436,35,55,847,646,331,141,677,380,397,289,372,620,35,54,846,645,331,140,677,380,397,289,372,620,
12:19:04.519,847,646,35,55,331,141,677,379,88,255,397,289,847,645,35,54,331,140,677,378,88,254,397,288,
12:19:04.602,847,646,35,54,331,141,677,379,88,255,397,289,847,645,35,53,331,140,677,378,88,254,397,288,
12:19:04.684,847,646,35,54,677,379,331,141,88,255,663,407,846,645,35,53,677,378,331,140,88,255,663,406,
12:19:04.768,847,646,36,54,677,379,88,255,331,141,397,289,846,646,35,53,677,379,87,254,330,141,396,289,
12:19:04.850,847,646,677,379,36,54,331,141,88,255,397,289,847,645,676,378,35,54,331,140,87,255,397,288,
12:19:04.933,847,646,677,379,35,54,331,141,88,255,786,154,846,645,677,379,34,53,330,141,88,255,785,154,
12:19:05.015,847,646,35,54,677,379,88,255,331,141,786,154,846,645,34,54,676,378,87,254,330,140,785,153,
12:19:05.099,847,646,35,54,677,379,331,141,88,255,372,620,846,646,34,53,677,379,330,141,87,255,372,619,
12:19:05.182,847,646,35,54,677,379,331,141,88,255,786,154,846,645,34,54,676,378,330,140,87,254,785,154,
12:19:05.265,847,646,35,55,677,379,331,141,88,255,397,289,847,646,35,54,677,379,330,140,87,255,396,289,
12:19:05.347,847,646,35,54,677,379,331,141,88,255,397,289,847,646,35,53,676,379,331,141,88,254,397,288,
12:19:05.431,847,646,35,54,331,141,677,379,88,255,666,408,846,645,34,54,330,140,677,378,88,254,665,407,
12:19:05.512,847,646,35,54,331,141,677,379,88,255,397,289,847,646,34,53,330,140,676,378,87,255,397,289,
12:19:05.595,847,646,35,54,677,379,331,141,88,255,372,620,847,646,34,53,676,379,330,141,87,254,371,620,
12:19:05.678,847,646,35,54,677,379,331,141,88,255,372,620,846,645,34,54,676,379,330,140,87,255,371,619,
12:19:05.760,847,646,35,54,677,379,331,141,88,255,397,289,847,645,34,54,676,378,330,141,87,254,396,288,
12:19:05.844,847,646,35,54,677,379,331,141,88,255,372,620,847,645,35,54,677,378,331,141,88,255,372,620,
12:19:05.928,847,646,35,54,677,379,331,141,88,255,665,408,847,645,35,54,677,378,331,141,88,255,665,408,
12:19:06.011,847,646,36,54,677,379,331,141,88,255,663,407,847,645,36,54,677,378,331,141,88,255,663,406,
12:19:06.094,848,646,36,54,677,379,332,141,88,255,663,406,847,645,35,53,676,379,331,140,87,254,662,405,
12:19:06.178,847,646,35,54,677,379,331,141,88,255,786,153,846,645,34,53,676,378,330,140,87,254,785,152,
