time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
12:36:35.519,245,256,521,204,522,149,521,177,494,176,454,84,405,283,1258,-106,1059,459,-158,937,-289,26,1689,1008,
12:36:35.625,433,369,423,591,484,405,454,530,486,434,436,314,433,369,423,590,484,404,454,529,486,434,436,314,
12:36:35.745,484,405,409,299,437,314,515,589,433,369,257,267,483,405,408,298,436,313,514,590,432,369,255,266,
12:36:35.848,545,646,512,585,456,505,258,270,490,510,489,593,544,649,510,587,454,506,255,269,488,511,487,595,
12:36:35.941,519,204,521,149,520,177,519,313,493,175,511,588,518,203,520,148,519,176,518,312,492,174,511,588,
12:36:36.034,521,148,492,175,520,176,519,203,452,83,481,56,520,147,491,174,519,175,518,202,451,82,480,55,
12:36:36.126,519,203,492,175,521,148,519,176,507,85,479,112,518,202,491,174,520,147,518,175,506,84,478,111,
12:36:36.219,519,203,519,176,492,174,520,148,478,112,451,82,518,203,518,176,491,174,519,148,477,112,450,82,
12:36:36.314,519,176,519,203,520,148,492,174,451,82,507,85,518,176,518,203,519,148,491,174,451,82,506,85,
12:36:36.404,519,176,519,203,520,148,451,82,478,112,491,175,519,176,519,203,520,148,451,82,478,112,491,175,
12:36:36.494,519,176,519,203,520,148,492,174,478,112,507,85,518,176,518,203,519,148,491,174,478,112,507,85,
12:36:36.587,519,176,520,148,519,203,492,175,478,112,507,85,518,176,519,148,518,203,491,175,477,112,506,85,
12:36:36.677,519,176,520,148,519,203,492,175,478,112,507,85,519,176,520,147,519,203,492,175,478,112,507,85,
12:36:36.768,519,176,521,148,492,175,519,203,480,56,478,112,518,175,520,147,491,175,518,202,479,55,477,111,
12:36:36.858,519,176,519,203,492,175,520,148,507,85,480,56,518,175,518,202,491,174,519,147,506,84,479,56,
12:36:36.949,519,176,520,148,519,203,492,175,478,112,507,85,518,176,520,148,518,203,491,175,478,112,506,84,
12:36:37.039,519,176,520,148,519,203,492,175,478,112,480,56,519,176,520,148,519,203,492,174,478,112,480,56,
12:36:37.130,519,176,520,148,519,203,492,175,480,56,478,112,518,175,519,148,518,202,491,174,479,55,477,111,
12:36:37.223,519,176,520,148,519,203,492,175,478,112,507,85,518,176,519,148,519,203,491,175,477,112,506,84,
12:36:37.315,519,176,520,148,519,203,492,175,507,85,478,112,519,175,520,147,518,202,491,175,507,85,478,112,
