time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
12:47:51.317,215,240,564,572,512,191,212,322,559,644,345,116,1552,358,-56,640,1378,-62,1794,609,-24,267,-134,-34,
12:47:51.408,414,455,672,119,336,411,424,291,504,355,573,484,414,455,672,119,336,411,424,290,504,354,572,483,
12:47:51.499,414,454,336,411,662,411,672,120,588,225,343,246,412,454,333,411,661,411,671,118,587,223,341,245,
12:47:51.590,413,455,425,291,335,410,340,246,400,698,654,408,409,456,421,290,330,410,336,244,396,703,654,409,
12:47:51.675,492,524,672,115,503,359,511,190,399,707,519,417,491,525,672,113,502,358,510,189,398,708,518,417,
12:47:51.756,497,579,499,353,491,525,570,492,320,326,348,471,496,580,497,353,489,525,569,492,318,325,346,471,
12:47:51.837,506,352,679,91,577,229,620,292,570,493,672,221,505,352,679,90,577,228,620,291,570,493,672,220,
12:47:51.918,581,489,589,219,615,315,581,307,579,409,613,410,580,489,588,218,614,314,580,306,578,409,612,410,
12:47:52.000,614,327,581,489,679,89,588,229,620,297,539,167,614,326,581,488,679,88,588,228,620,296,539,166,
12:47:52.082,581,489,679,89,614,327,620,297,510,264,588,229,580,488,678,88,613,326,619,296,509,263,587,228,
12:47:52.162,614,327,576,228,510,264,581,489,613,411,599,716,614,326,576,228,510,264,581,488,613,410,599,715,
12:47:52.243,614,327,510,264,581,489,577,218,620,297,679,89,613,326,509,263,580,489,576,217,619,296,678,88,
12:47:52.325,614,327,599,716,576,228,581,489,613,410,510,264,614,327,599,715,576,228,581,488,613,409,510,264,
12:47:52.408,614,327,578,489,679,89,577,218,510,264,613,410,613,326,577,488,678,89,576,218,509,264,612,409,
12:47:52.490,614,327,578,489,577,218,578,714,617,297,510,264,614,327,578,488,577,218,578,713,617,297,510,264,
12:47:52.570,581,489,614,327,588,229,510,264,620,297,351,304,580,488,613,327,587,229,509,264,619,297,351,304,
12:47:52.651,581,489,614,327,599,715,613,410,588,229,620,297,581,488,614,327,599,714,613,409,588,229,620,297,
12:47:52.733,581,489,599,715,613,410,620,297,614,327,351,304,580,489,598,714,612,410,619,297,613,326,350,304,
12:47:52.814,581,489,614,327,599,715,620,297,598,460,588,229,581,488,614,327,598,715,620,296,598,460,588,229,
12:47:52.894,578,489,614,327,599,715,588,229,620,297,579,409,577,488,613,326,599,714,587,228,619,296,578,409,
12:47:52.974,578,489,614,327,588,229,599,715,620,297,579,409,578,488,614,327,588,228,598,715,620,297,579,408,
12:47:53.057,581,489,620,297,614,327,599,715,664,434,613,410,580,488,619,296,613,326,599,714,663,433,612,409,
12:47:53.137,581,489,614,327,588,229,664,434,599,715,620,297,581,488,614,326,588,229,664,433,599,715,619,297,
12:47:53.218,614,327,581,489,599,715,620,297,351,304,613,410,613,327,580,489,599,714,620,297,350,304,613,410,
12:47:53.298,578,489,614,327,620,297,664,434,666,392,451,268,578,488,614,326,619,297,663,434,665,392,450,268,
12:47:53.379,578,489,614,327,666,392,620,297,351,299,599,715,577,489,613,327,666,391,619,296,350,299,599,715,
12:47:53.460,578,489,599,715,664,434,614,327,620,294,351,304,578,489,598,714,664,434,614,326,620,294,351,303,
12:47:53.539,578,489,620,297,614,327,664,434,613,410,599,715,577,488,619,296,613,327,663,433,612,409,598,715,
12:47:53.621,578,489,620,297,599,715,664,434,613,410,614,327,577,489,619,297,598,714,664,434,613,410,614,327,
12:47:53.701,620,297,581,489,351,304,599,715,614,327,613,410,620,296,580,488,351,303,599,715,614,327,612,409,
12:47:53.782,578,489,620,297,599,715,664,434,614,327,588,229,577,488,619,296,599,714,663,434,613,326,587,229,
12:47:53.863,581,489,620,297,599,715,614,327,588,229,613,410,580,488,620,296,598,715,613,326,587,228,613,409,
12:47:53.943,578,489,599,715,614,327,620,297,613,410,588,229,577,488,598,714,613,327,619,297,612,409,587,229,
12:47:54.024,599,715,578,489,614,327,620,297,588,229,664,434,598,715,577,489,613,327,619,297,587,229,663,434,
12:47:54.105,578,489,599,715,620,297,588,229,351,304,664,434,578,489,599,715,620,297,588,229,351,304,664,434,
12:47:54.185,581,489,620,297,598,460,351,304,613,410,614,327,581,489,620,297,598,460,351,304,613,410,614,327,
12:47:54.267,581,489,615,315,589,214,614,410,498,353,581,307,581,488,615,315,589,214,614,409,498,353,581,307,
