time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
13:25:40.436,605,254,585,400,659,414,635,258,605,398,609,426,-516,245,-210,497,-545,628,-322,222,-469,995,-77,778,
13:25:40.539,616,238,604,258,591,411,609,422,652,276,615,396,616,237,604,257,591,411,609,421,652,275,615,395,
13:25:40.644,616,238,591,411,610,274,609,422,652,276,615,396,616,236,589,410,609,273,609,422,652,275,612,396,
13:25:40.739,592,413,658,414,585,266,609,271,615,237,650,272,590,413,657,414,583,265,607,270,614,236,649,271,
13:25:40.829,584,266,580,420,591,400,605,288,659,429,607,426,583,265,579,420,590,400,605,287,659,429,606,426,
13:25:40.921,584,266,859,262,858,404,881,435,580,421,611,401,583,265,859,261,858,404,881,435,579,421,610,401,
13:25:41.013,584,266,876,449,863,274,881,293,858,404,883,269,583,265,875,449,862,274,880,292,857,404,882,269,
13:25:41.104,859,262,858,404,584,254,880,293,883,269,881,435,859,262,858,404,584,254,880,293,883,269,881,434,
13:25:41.196,859,262,858,404,881,435,584,266,860,427,875,307,859,261,858,403,881,434,584,265,860,426,875,306,
13:25:41.287,584,266,859,262,858,404,881,435,875,307,883,269,584,266,859,261,858,404,881,434,875,306,883,268,
13:25:41.377,859,262,881,435,858,404,883,269,584,266,882,394,858,262,880,435,857,404,882,268,583,266,881,394,
13:25:41.467,859,262,858,404,881,435,584,254,881,293,883,269,859,261,858,403,881,434,584,254,881,292,883,269,
13:25:41.559,859,262,858,404,881,435,584,254,875,307,882,394,859,262,858,403,881,434,584,253,875,307,882,393,
13:25:41.653,859,262,881,435,858,404,584,266,875,307,883,269,859,261,881,434,858,404,584,265,875,306,883,268,
13:25:41.741,858,404,859,262,881,435,881,293,584,266,883,269,857,403,858,262,880,434,880,292,583,265,882,269,
13:25:41.832,859,262,881,435,858,404,883,269,584,254,875,307,858,261,880,435,857,403,883,268,583,253,874,307,
