time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
13:28:36.533,977,236,1025,690,1040,596,1026,83,1026,626,1071,96,1084,370,1191,812,1365,415,1161,-131,1370,606,1339,65,
13:28:36.626,1023,616,968,223,1025,694,1053,105,1034,590,996,240,1017,558,939,212,1023,731,1043,102,1080,467,1028,250,
13:28:36.726,1051,105,1045,591,1035,697,1040,628,996,240,939,167,1050,104,1045,590,1035,697,1040,628,996,239,938,167,
13:28:36.835,1050,104,1035,697,1049,626,1046,590,67,604,1008,616,1052,103,1036,697,1050,627,1048,591,66,603,1010,617,
13:28:36.933,1061,111,1042,629,1038,697,1199,399,1050,668,933,162,1061,111,1042,629,1037,697,1198,399,1050,668,932,162,
13:28:37.025,1055,105,88,21,1038,698,1272,411,1037,617,80,640,1054,104,88,10,1037,697,1276,411,1036,617,25,663,
13:28:37.117,1060,110,1044,689,1037,617,69,2,1099,1,1201,398,1059,109,1043,688,1037,616,72,-2,1097,1,1199,397,
13:28:37.205,1054,104,261,563,1041,628,1044,688,1275,412,56,99,1056,102,251,561,1042,628,1045,689,1285,412,49,100,
13:28:37.296,1043,628,1041,698,1062,108,1029,591,1048,576,1048,659,1044,629,1043,699,1064,105,1031,593,1050,577,1050,661,
13:28:37.386,1044,627,1031,595,999,249,1032,699,1052,596,947,198,1046,628,1034,597,1002,247,1034,700,1054,598,949,196,
13:28:37.474,1056,599,1012,252,915,188,1034,700,1034,604,71,561,1057,600,1013,251,916,187,1035,701,1035,605,68,557,
13:28:37.562,917,187,1047,601,922,565,902,211,1032,695,1005,245,917,186,1047,601,922,565,902,210,1032,695,1005,244,
13:28:37.650,918,187,904,214,1047,602,1006,245,918,158,916,686,918,186,904,213,1047,602,1006,244,918,157,916,686,
13:28:37.734,918,187,1057,606,923,565,904,213,1006,245,867,206,918,186,1056,606,922,565,903,212,1005,244,867,206,
13:28:37.820,918,187,1057,607,903,210,1006,245,923,565,911,142,917,187,1056,607,902,210,1005,245,923,565,911,141,
13:28:37.905,918,187,1057,607,904,214,1006,245,920,227,911,141,917,187,1057,607,903,213,1005,245,919,227,910,140,
13:28:37.990,918,187,923,565,1057,607,904,213,917,155,1006,245,917,187,923,565,1057,606,903,213,916,155,1005,245,
13:28:38.075,918,187,923,565,903,211,1006,245,1057,607,867,607,917,187,922,565,903,211,1005,245,1056,607,867,607,
13:28:38.161,918,187,1057,607,923,565,1006,245,903,211,920,227,918,186,1056,606,923,564,1005,244,902,210,920,226,
13:28:38.247,918,187,1057,607,903,211,923,565,1006,245,912,141,918,186,1057,606,903,210,922,564,1006,244,912,140,
13:28:38.332,918,187,923,565,917,155,903,211,1057,606,1006,245,918,187,922,564,916,154,902,210,1057,606,1006,244,
13:28:38.418,918,187,1057,606,923,565,912,141,903,210,867,607,918,187,1056,606,922,564,911,141,903,210,866,606,
13:28:38.503,918,187,923,565,903,211,1057,607,920,227,917,155,917,186,922,564,903,211,1057,606,919,227,917,154,
13:28:38.588,918,187,903,211,1057,606,923,565,912,141,1006,245,917,187,902,211,1056,606,923,565,912,140,1006,245,
13:28:38.674,918,187,923,565,904,214,912,141,1057,607,1006,245,918,186,923,565,903,214,911,141,1057,606,1006,245,
13:28:38.760,918,187,923,565,904,214,1057,607,917,155,867,607,918,187,922,564,904,213,1056,607,917,154,867,607,
13:28:38.846,919,191,904,214,923,565,1057,606,912,141,1006,245,918,190,904,214,923,565,1057,606,912,141,1006,244,
13:28:38.931,918,187,923,565,1057,607,904,214,917,155,1006,245,918,187,923,565,1057,607,904,214,917,155,1006,245,
13:28:39.017,918,187,923,565,912,141,1048,601,904,213,1006,245,918,187,922,564,911,141,1047,601,904,213,1005,245,
