time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
14:03:54.168,361,128,363,549,658,465,1079,584,607,286,287,301,469,165,406,491,567,455,995,819,77,1091,368,310,
14:03:54.269,364,546,361,131,603,540,631,306,655,466,601,136,364,546,360,130,603,540,631,306,654,433,600,135,
14:03:54.371,360,130,364,547,606,287,632,307,606,372,657,466,359,129,363,547,606,286,632,307,606,371,656,448,
14:03:54.463,359,129,363,548,606,286,633,307,644,372,606,372,359,129,363,547,606,285,633,307,644,371,606,371,
14:03:54.562,360,129,363,548,606,286,633,307,644,372,607,372,359,128,362,548,606,285,633,306,644,372,607,372,
14:03:54.656,363,549,360,129,607,372,606,286,634,307,644,372,362,549,359,128,607,372,606,285,634,306,644,372,
14:03:54.748,362,549,359,128,607,286,634,307,607,372,644,372,361,549,358,127,606,285,633,306,606,372,643,372,
14:03:54.842,359,128,362,549,606,285,1080,585,634,307,607,372,358,127,361,549,605,284,1079,585,633,307,606,372,
14:03:54.933,359,128,362,550,606,286,1080,586,633,307,644,372,359,128,362,549,606,286,1080,585,633,306,644,371,
14:03:55.026,359,128,362,550,606,285,644,372,1080,585,633,307,359,128,361,549,606,285,643,371,1079,585,633,307,
14:03:55.118,359,128,362,549,606,285,1080,585,644,372,633,307,359,128,362,548,605,284,1130,816,643,371,633,307,
14:03:55.209,359,128,606,285,362,550,633,307,644,372,1080,585,358,127,605,285,361,550,632,306,643,372,1080,585,
14:03:55.301,359,128,606,286,362,550,644,372,1080,585,633,307,358,127,606,286,361,550,644,372,1081,398,632,306,
14:03:55.395,359,128,606,285,361,549,1080,585,644,372,633,307,359,128,605,284,360,549,1079,585,643,371,632,307,
14:03:55.487,359,128,606,285,1080,585,361,550,633,307,644,372,358,127,605,285,1080,585,360,550,632,307,643,372,
14:03:55.579,359,128,606,285,1080,585,361,550,644,372,633,307,358,127,606,285,1080,584,361,549,644,372,633,307,
14:03:55.669,359,128,606,285,361,550,1080,586,633,307,644,372,358,127,606,285,360,550,1079,585,632,306,644,372,
14:03:55.763,359,128,606,285,361,550,1080,585,606,307,644,372,358,127,605,284,360,549,1079,585,606,307,643,371,
14:03:55.856,359,128,606,286,633,307,361,549,606,307,1080,585,358,128,606,286,632,306,360,549,606,306,1079,585,
14:03:55.949,359,128,361,550,606,286,1080,585,633,307,606,307,358,127,360,549,605,285,1079,584,632,307,605,306,
14:03:56.041,359,128,606,285,361,550,633,307,1080,585,606,307,359,128,606,285,361,550,633,306,1080,584,606,306,
14:03:56.132,359,128,606,285,361,550,633,307,1080,585,606,307,358,128,605,285,360,549,632,307,1079,584,605,307,
14:03:56.224,359,128,606,285,361,550,633,307,606,307,644,372,359,127,605,285,361,549,632,307,605,307,643,371,
14:03:56.318,359,128,606,286,361,550,633,307,644,372,606,307,359,128,605,285,360,549,633,307,644,372,606,306,
14:03:56.408,359,128,606,286,361,550,633,307,1080,585,644,372,359,127,606,285,360,549,632,306,1079,585,643,371,
14:03:56.501,359,128,606,286,361,549,633,307,606,307,644,372,358,128,605,285,360,549,632,307,605,306,643,372,
14:03:56.593,359,128,606,285,361,550,633,307,606,307,644,372,359,127,606,285,361,549,633,306,605,306,643,371,
14:03:56.686,359,128,606,285,361,550,633,307,644,372,606,307,358,128,605,284,360,550,633,306,643,372,605,307,
14:03:56.778,359,128,606,286,633,307,361,550,644,372,606,307,359,127,605,285,632,307,360,550,643,371,606,307,
14:03:56.870,359,128,606,285,361,550,633,307,644,372,606,307,358,128,606,285,360,550,633,307,644,372,605,307,
14:03:56.961,359,128,606,286,633,307,361,550,606,307,1080,585,359,127,605,285,632,307,361,549,606,306,1079,585,
14:03:57.054,359,128,606,286,633,307,361,550,606,307,644,372,358,127,606,285,632,306,361,550,605,307,643,371,
14:03:57.148,359,128,606,286,361,550,633,307,606,307,644,372,358,127,605,285,360,549,633,307,606,306,644,372,
14:03:57.239,359,128,606,286,361,549,633,307,606,307,644,372,359,128,606,286,360,549,633,306,605,307,643,372,
14:03:57.330,359,128,606,286,361,550,633,307,606,307,644,372,358,128,605,286,360,549,632,306,606,306,643,371,
14:03:57.423,359,128,606,286,361,550,633,307,644,372,606,307,359,127,606,285,360,550,633,307,643,372,606,306,
14:03:57.517,359,128,606,285,361,550,633,307,644,372,606,307,358,127,605,284,361,549,632,307,644,372,605,307,
14:03:57.609,359,128,606,286,361,550,633,307,644,372,606,307,359,128,605,286,361,549,632,307,643,371,605,307,
14:03:57.701,359,128,606,286,361,550,644,372,633,307,606,307,358,127,606,285,360,550,644,372,632,306,605,306,
14:03:57.793,359,128,606,286,361,550,633,307,606,307,644,372,358,128,605,286,360,549,632,307,605,306,643,371,
14:03:57.886,359,128,606,286,361,550,633,307,606,307,644,372,359,127,606,285,361,549,633,306,606,307,644,372,
14:03:57.979,358,128,606,286,361,550,633,307,606,307,644,372,357,127,605,285,360,549,632,306,605,306,643,371,
14:03:58.071,606,286,358,128,361,550,633,307,606,372,606,307,606,285,358,127,361,549,633,306,606,371,606,306,
14:03:58.162,606,286,359,128,633,307,361,549,606,307,644,372,605,285,358,128,632,307,360,548,605,307,643,371,
14:03:58.256,606,286,358,128,361,550,633,307,644,372,606,372,605,285,357,127,360,550,632,306,643,371,605,371,
14:03:58.348,358,128,606,286,361,550,633,307,606,372,606,306,357,128,605,286,361,550,632,307,606,372,605,306,
14:03:58.438,358,128,606,286,361,550,633,307,606,372,644,372,358,128,606,285,360,550,633,306,606,372,644,372,
14:03:58.532,358,128,606,286,361,550,633,307,644,372,606,372,358,128,606,286,361,550,633,307,644,372,606,372,
14:03:58.624,359,128,606,286,633,307,361,550,606,307,644,372,358,128,606,286,633,307,360,550,606,307,644,372,
14:03:58.717,358,128,361,551,606,286,607,307,607,373,633,307,357,127,360,552,606,286,607,307,607,373,633,307,
14:03:58.811,607,287,358,128,634,308,361,553,607,308,607,374,607,286,357,127,634,307,360,553,607,307,607,374,
14:03:58.902,607,286,357,127,360,553,608,374,635,308,646,374,607,286,356,126,359,554,608,374,635,308,646,374,
14:03:58.993,357,127,608,287,360,555,635,308,608,308,609,375,356,126,608,287,359,556,636,308,608,308,609,375,
14:03:59.086,609,287,357,126,636,308,359,556,647,375,609,308,609,287,356,125,636,308,357,557,647,375,609,308,
14:03:59.176,357,126,609,287,358,558,648,376,637,309,610,376,356,125,610,287,359,558,649,376,638,309,611,376,
14:03:59.268,359,559,357,126,611,288,638,309,611,309,611,376,357,560,356,125,611,287,638,309,611,309,611,376,
14:03:59.359,611,287,356,125,639,309,358,561,612,377,611,309,611,287,354,124,639,309,356,562,612,377,611,309,
14:03:59.451,357,562,611,287,355,124,639,309,650,377,612,377,356,563,611,286,353,122,639,309,650,377,612,377,
14:03:59.543,353,123,356,564,612,288,612,309,639,309,651,378,353,122,356,564,613,287,613,309,640,309,652,378,
14:03:59.634,354,122,613,287,357,565,614,378,641,309,652,378,353,120,613,286,356,566,614,378,641,308,652,378,
14:03:59.727,353,121,614,287,356,566,653,378,614,309,642,309,352,120,614,287,354,567,653,378,614,309,642,309,
14:03:59.813,352,120,614,287,355,568,615,379,642,309,654,379,352,119,615,287,355,568,616,379,643,309,655,379,
14:03:59.894,353,120,616,288,644,310,356,569,655,379,616,379,351,119,616,288,644,310,354,571,655,379,616,379,
14:03:59.976,616,288,351,119,354,571,644,310,616,310,617,380,616,288,350,118,353,572,644,310,616,310,617,380,
14:04:00.061,354,572,351,119,616,288,656,380,617,380,645,311,353,573,350,118,616,288,657,380,617,380,646,311,
14:04:00.143,350,118,617,288,353,574,618,381,657,381,646,311,349,117,617,288,352,575,618,381,657,381,646,311,
14:04:00.225,353,575,350,117,618,288,646,311,618,311,618,381,352,577,349,116,618,288,647,311,618,311,618,381,
14:04:00.307,349,117,619,289,352,577,619,311,619,382,647,311,348,116,619,288,351,578,619,311,619,382,647,311,
14:04:00.389,348,116,619,289,351,578,620,383,647,311,619,311,346,115,619,289,349,579,620,383,647,311,619,311,
14:04:00.470,347,115,619,288,350,580,648,312,620,383,619,312,347,114,619,287,349,580,648,311,620,383,619,312,
14:04:00.553,347,114,620,288,349,581,649,312,620,312,660,383,346,112,620,287,348,581,649,311,620,311,660,383,
14:04:00.633,346,113,620,288,349,582,621,311,621,383,649,311,347,112,621,287,350,582,622,310,622,383,650,310,
14:04:00.716,622,288,347,113,350,582,651,312,623,384,662,383,621,287,345,112,348,582,650,311,622,384,661,383,
14:04:00.796,346,112,349,583,621,288,622,311,650,311,622,384,346,111,349,584,622,288,623,311,651,311,623,384,
14:04:00.878,623,288,346,111,349,584,623,384,663,384,652,312,622,288,344,110,347,585,622,384,662,384,651,312,
14:04:00.959,622,288,345,111,348,585,622,312,651,312,623,385,622,287,344,110,347,586,622,312,651,312,623,385,
14:04:01.042,623,288,344,110,347,586,652,312,624,385,623,312,623,287,343,109,346,586,652,311,624,385,623,311,
14:04:01.126,623,288,344,110,347,587,624,385,653,312,623,312,623,288,344,109,347,587,624,385,653,312,623,312,
14:04:01.212,624,288,344,109,347,588,624,312,625,385,653,312,624,288,344,108,347,588,624,312,625,385,653,312,
14:04:01.294,347,588,625,288,344,109,654,312,625,312,625,385,346,589,625,288,343,108,654,312,625,312,625,385,
14:04:01.388,344,108,625,288,347,590,655,312,626,312,626,386,344,106,626,287,346,591,656,311,627,311,627,385,
14:04:01.469,627,287,347,591,344,107,668,385,657,312,628,386,626,287,344,593,341,105,667,385,656,312,627,386,
14:04:01.551,627,288,342,105,668,386,345,593,627,386,627,312,628,287,341,102,669,386,344,595,628,386,628,311,
14:04:01.633,341,103,628,287,344,595,629,311,658,311,629,387,340,101,629,286,343,596,630,310,659,310,630,387,
14:04:01.714,630,287,341,102,630,311,343,597,659,311,631,387,630,286,340,99,630,310,341,598,660,310,631,386,
14:04:01.795,340,100,631,286,342,598,661,311,631,387,631,311,338,97,632,285,340,601,662,310,632,387,632,310,
14:04:01.876,632,286,338,97,662,311,633,388,632,311,341,601,632,285,337,95,663,310,633,388,632,310,339,602,
14:04:01.958,633,285,337,96,339,603,634,388,675,388,812,376,633,284,334,93,336,606,634,388,676,388,816,376,
14:04:02.039,634,285,334,93,676,388,664,310,337,606,634,310,635,284,334,91,677,388,665,309,336,607,635,309,
14:04:02.121,636,285,666,310,636,310,820,377,636,389,335,92,637,284,667,309,637,309,824,377,637,389,333,89,
14:04:02.202,637,284,668,310,638,389,333,89,824,377,335,611,639,283,670,309,640,389,333,87,827,377,335,612,
14:04:02.284,639,284,670,310,333,88,828,378,639,310,640,389,640,283,671,309,332,85,832,378,640,309,641,389,
14:04:02.365,641,284,672,310,832,378,333,86,641,390,641,309,642,283,673,309,834,378,331,84,642,390,642,308,
14:04:02.446,642,283,332,84,643,390,335,616,673,310,835,378,642,282,330,82,643,390,333,617,673,309,837,378,
