time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
14:05:20.809,304,694,742,492,983,397,738,546,681,15,276,692,497,393,630,-303,768,388,698,-342,615,259,517,409,
14:05:20.903,283,686,670,679,292,4,320,1,678,22,305,691,283,685,668,678,289,3,316,0,675,22,304,690,
14:05:20.998,676,22,282,686,670,679,317,1,289,3,304,690,675,22,282,685,669,678,317,1,289,3,303,689,
14:05:21.098,281,686,670,679,677,21,290,3,682,272,711,300,278,688,670,681,677,18,288,-46,682,271,711,299,
14:05:21.189,980,396,306,692,681,269,278,689,736,544,678,19,983,396,303,695,681,268,274,692,737,546,678,16,
14:05:21.271,983,397,725,403,715,302,681,268,738,547,680,402,983,397,724,403,714,301,680,267,737,547,679,402,
14:05:21.353,983,397,681,268,715,302,301,697,724,403,679,403,983,397,681,267,715,301,300,697,724,403,679,403,
14:05:21.437,681,267,984,397,715,302,271,695,984,210,725,403,681,267,983,396,715,302,272,694,984,210,725,402,
14:05:21.520,983,397,682,268,725,403,681,301,738,547,741,493,982,396,681,267,724,402,680,301,737,546,740,492,
14:05:21.602,983,397,681,267,725,403,741,493,680,403,681,301,983,397,681,267,725,403,741,492,680,402,681,301,
14:05:21.685,983,397,682,268,725,403,681,301,738,547,716,302,983,396,682,267,725,402,681,300,738,546,716,301,
14:05:21.768,984,397,682,268,725,403,273,694,680,403,716,302,848,437,681,267,724,402,272,693,679,402,715,302,
14:05:21.850,681,267,715,302,984,398,725,403,680,403,681,301,681,267,715,301,984,397,725,403,680,403,681,300,
14:05:21.933,681,267,725,403,983,397,715,302,681,301,680,403,681,267,725,402,983,396,715,302,681,301,680,402,
14:05:22.016,682,268,725,403,681,301,983,397,716,302,680,403,681,267,724,402,680,301,982,397,715,302,679,402,
14:05:22.098,681,267,725,403,983,397,681,301,715,302,680,403,681,267,725,402,983,396,681,301,715,302,680,402,
14:05:22.181,682,268,716,302,725,403,983,397,681,301,680,402,681,268,715,301,724,403,982,396,680,300,679,402,
14:05:22.263,682,268,725,403,983,397,681,301,716,302,681,374,681,267,724,402,982,397,680,301,715,301,680,374,
14:05:22.347,681,267,725,403,681,301,715,302,983,397,680,403,681,266,725,403,681,300,715,301,983,397,680,403,
14:05:22.429,682,268,725,403,983,397,716,302,681,301,681,374,681,267,724,403,982,397,715,302,680,300,680,374,
14:05:22.513,681,267,725,403,681,301,983,397,715,302,680,402,680,266,725,403,680,300,983,396,715,301,680,402,
14:05:22.595,681,267,725,403,983,397,681,301,680,402,681,329,681,267,725,403,983,396,681,301,680,401,681,329,
14:05:22.679,682,268,725,403,716,302,983,397,681,301,681,374,681,268,724,402,715,301,982,397,680,300,680,374,
14:05:22.762,682,268,725,403,983,397,681,301,680,402,716,302,681,267,724,402,983,396,680,300,679,402,716,302,
14:05:22.846,681,267,725,403,681,301,983,397,680,403,716,302,680,267,725,403,680,301,982,397,679,402,715,301,
14:05:22.929,681,267,725,403,681,301,715,302,984,397,680,403,680,266,724,402,680,301,714,301,983,397,679,403,
14:05:23.013,681,267,725,403,681,301,680,403,983,397,715,302,680,266,725,403,680,300,679,402,983,396,715,302,
14:05:23.096,681,267,725,403,681,301,715,302,983,397,680,403,681,267,724,402,681,300,715,301,982,396,680,403,
14:05:23.181,682,268,725,403,715,302,680,403,983,397,681,301,681,267,724,403,714,302,679,402,982,397,680,301,
14:05:23.263,681,267,725,403,983,397,681,301,715,302,680,403,681,266,725,402,983,397,681,301,715,302,680,403,
14:05:23.346,681,267,725,403,681,301,983,397,716,302,680,403,680,267,725,403,680,300,982,396,715,302,679,403,
14:05:23.428,681,267,725,403,681,301,983,397,716,302,681,374,681,266,724,403,680,300,983,396,715,302,680,374,
14:05:23.511,681,267,725,403,681,301,983,397,715,302,680,402,680,266,725,402,680,300,982,396,714,301,679,402,
14:05:23.594,725,403,681,267,681,301,983,397,680,403,715,302,724,403,681,267,680,300,982,396,680,402,714,301,
14:05:23.679,681,267,725,403,983,397,681,301,716,302,680,402,680,266,724,402,983,397,681,301,716,302,679,401,
14:05:23.761,681,267,725,403,681,301,715,302,680,402,983,397,681,267,725,403,681,300,714,301,680,402,983,396,
14:05:23.846,681,267,725,403,681,301,716,302,983,397,680,403,681,266,724,402,681,300,715,302,982,396,680,402,
14:05:23.928,681,267,725,403,681,301,983,397,715,302,680,403,680,266,724,402,680,301,983,397,714,301,679,402,
14:05:24.012,681,267,725,403,681,301,715,302,680,403,983,397,681,266,725,402,680,300,715,301,680,402,982,396,
14:05:24.095,681,267,725,403,681,301,983,397,715,302,681,374,681,266,725,402,681,300,983,396,715,301,681,373,
14:05:24.179,682,268,725,403,680,402,681,301,983,397,716,302,681,267,724,402,679,401,680,300,982,396,715,301,
14:05:24.262,681,267,725,403,715,301,681,301,680,402,681,374,681,266,725,402,715,300,681,300,680,401,681,373,
14:05:24.345,682,267,726,403,716,302,680,402,984,397,681,374,683,267,727,403,717,302,681,402,985,397,682,374,
14:05:24.428,683,267,727,403,683,301,717,302,985,397,682,403,682,266,727,402,682,300,716,302,985,396,682,403,
