time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
14:20:21.497,619,346,349,648,724,343,722,392,602,393,614,709,-598,345,347,639,-382,354,-138,321,-638,373,612,778,
14:20:21.583,618,345,614,701,615,392,663,657,357,645,787,57,616,344,614,703,611,392,663,656,354,644,785,53,
14:20:21.664,617,345,614,703,786,58,356,645,615,392,663,657,617,344,614,703,786,57,356,644,615,391,663,656,
14:20:21.746,617,345,614,702,615,392,685,718,661,667,356,645,617,344,614,702,615,392,685,717,661,666,356,644,
14:20:21.834,617,345,614,701,787,58,356,644,615,392,686,718,617,344,613,704,788,55,352,648,615,392,781,629,
14:20:21.919,350,648,615,709,603,393,607,345,661,659,667,386,348,649,614,710,602,393,606,345,661,660,667,386,
14:20:22.000,348,649,615,711,607,345,603,394,670,352,667,386,346,650,614,712,606,345,602,394,670,352,667,386,
14:20:22.082,347,650,603,394,606,346,670,352,667,386,615,712,347,649,603,393,606,345,670,352,667,385,615,711,
14:20:22.163,348,650,603,394,607,345,615,712,670,352,667,386,348,649,603,393,607,344,614,711,669,351,666,385,
14:20:22.245,348,650,606,346,603,394,615,712,667,386,670,352,348,649,606,345,603,393,614,711,667,385,669,352,
14:20:22.328,348,650,607,345,615,712,603,394,667,386,670,352,348,649,606,345,615,712,602,394,667,386,669,351,
14:20:22.408,348,650,607,345,615,712,603,394,667,386,670,352,347,650,607,345,614,712,602,394,666,385,670,352,
14:20:22.489,348,650,607,345,615,712,603,394,667,386,670,352,348,649,607,344,615,711,603,394,667,386,670,352,
14:20:22.569,348,650,607,345,615,712,603,394,667,386,670,352,347,649,606,345,614,712,602,394,667,386,670,352,
14:20:22.650,348,650,607,345,615,712,603,394,667,386,670,352,348,649,607,344,615,711,603,393,667,385,670,351,
14:20:22.730,348,650,607,345,615,712,603,394,667,386,670,352,347,650,606,345,614,712,602,394,666,385,670,352,
14:20:22.811,348,650,607,345,615,712,603,394,667,386,670,352,347,649,607,344,615,712,603,393,667,386,669,352,
14:20:22.892,348,650,607,345,615,712,667,386,603,394,661,661,348,650,606,345,615,711,666,385,602,394,661,660,
14:20:22.974,348,650,607,345,615,712,667,386,603,394,670,352,347,649,607,345,614,712,667,386,602,394,670,351,
14:20:23.055,348,650,607,345,615,712,603,394,667,386,670,352,348,649,606,344,615,712,602,393,666,385,669,351,
14:20:23.135,348,650,607,345,615,712,670,352,603,394,667,386,347,650,606,345,614,712,669,352,603,394,666,386,
14:20:23.217,348,650,615,712,670,352,607,345,603,394,667,386,348,649,615,711,670,351,607,344,603,393,667,385,
14:20:23.298,348,650,670,352,607,345,615,712,603,394,667,386,347,649,669,351,606,344,614,711,602,393,666,385,
14:20:23.381,348,650,607,345,670,352,603,394,615,712,667,386,347,649,606,344,669,351,602,393,614,712,666,385,
14:20:23.462,348,650,607,345,670,352,603,394,615,712,667,386,347,650,606,344,669,351,602,393,614,711,666,385,
14:20:23.543,347,650,669,352,606,346,603,393,615,712,667,386,346,650,668,352,605,346,602,393,614,711,666,386,
14:20:23.624,347,650,606,346,669,352,615,712,603,393,667,386,347,650,605,345,668,352,614,712,602,393,666,386,
14:20:23.705,347,650,669,352,606,346,603,394,615,712,667,386,346,650,668,352,605,346,602,394,614,712,667,386,
14:20:23.787,347,650,669,352,606,346,603,393,615,712,667,386,346,650,668,352,605,346,602,393,614,712,666,386,
14:20:23.867,347,650,669,352,606,346,603,394,667,386,615,712,346,650,668,351,605,346,602,394,666,386,614,711,
14:20:23.949,347,650,669,352,606,346,603,394,667,386,661,661,346,650,668,352,605,345,602,394,666,385,660,660,
14:20:24.030,347,650,669,352,606,346,603,394,661,661,615,712,346,650,668,351,605,345,602,393,660,661,614,712,
14:20:24.111,347,650,669,352,606,346,603,394,661,661,667,386,347,649,669,351,606,346,603,393,661,660,667,386,
14:20:24.193,347,650,606,346,669,352,603,394,615,712,667,386,347,650,606,346,669,352,603,394,615,712,667,386,
14:20:24.274,347,650,606,346,669,352,603,394,667,386,615,712,347,650,606,346,669,352,603,393,667,386,615,712,
14:20:24.355,348,650,606,346,669,352,603,394,615,712,667,386,348,649,606,345,669,351,603,393,615,711,667,385,
14:20:24.435,607,345,348,650,604,393,670,352,615,711,662,661,607,345,347,650,604,393,670,352,615,712,662,661,
14:20:24.517,348,651,604,394,607,345,671,352,668,386,616,713,347,653,604,394,607,345,672,352,669,386,616,715,
14:20:24.597,608,346,347,653,605,394,616,715,672,352,663,664,608,346,346,655,605,394,616,717,673,352,663,666,
14:20:24.678,609,346,673,353,606,395,617,717,346,655,670,388,609,346,673,353,606,395,617,718,345,656,670,388,
14:20:24.759,346,657,609,347,606,396,674,353,676,672,671,388,345,659,610,347,607,396,676,353,677,674,673,388,
14:20:24.840,611,347,608,397,345,660,674,389,677,354,665,670,611,347,608,397,344,662,675,389,678,354,665,672,
14:20:24.921,612,348,345,662,609,397,678,677,678,354,675,390,613,348,343,665,610,397,679,680,680,354,677,390,
14:20:25.002,610,398,613,348,677,390,680,680,343,666,680,355,611,398,614,348,678,390,681,682,342,668,681,355,
14:20:25.082,615,348,343,668,611,399,682,682,679,391,682,355,615,347,342,670,611,399,682,684,680,391,683,355,
14:20:25.164,616,348,342,670,612,399,681,391,683,684,683,355,617,348,340,674,613,400,683,392,684,688,685,355,
