time,p1t0x,p1t0y,p2t0x,p2t0y,p3t0x,p3t0y,p4t0x,p4t0y,p5t0x,p5t0y,p6t0x,p6t0y,p1t1x,p1t1y,p2t1x,p2t1y,p3t1x,p3t1y,p4t1x,p4t1y,p5t1x,p5t1y,p6t1x,p6t1y
14:22:50.056,838,478,849,343,1193,341,1210,492,1233,483,900,340,31,435,-136,287,810,321,1343,515,1396,513,-136,314,
14:22:50.154,831,476,843,347,1275,476,1014,359,889,462,1189,346,-44,518,-50,289,771,440,908,381,-61,514,937,342,
14:22:50.252,832,480,226,32,850,346,852,388,1038,360,1256,650,832,480,221,10,850,346,860,388,1038,360,1256,657,
14:22:50.355,843,347,832,479,1270,26,1038,359,1021,464,890,462,843,346,832,478,1266,-12,1037,358,1020,464,890,462,
14:22:50.449,843,345,833,480,1021,464,1274,498,889,461,1273,477,842,344,832,480,1020,464,1273,497,888,460,1272,477,
14:22:50.541,843,347,832,479,889,461,1040,360,1274,477,1119,58,843,346,832,479,889,461,1040,359,1274,477,1118,59,
14:22:50.631,1170,708,844,347,832,479,1014,360,1276,497,1038,359,1170,709,843,346,832,478,1013,360,1276,497,1038,358,
14:22:50.720,843,346,832,479,1216,707,38,416,1273,499,1270,637,845,345,833,479,1210,680,32,416,1320,499,1322,551,
14:22:50.806,846,346,913,357,836,482,1016,360,894,455,1021,466,846,345,913,356,836,481,1017,359,894,455,1021,466,
14:22:50.889,846,346,913,358,835,480,1037,358,894,464,1017,362,846,345,913,357,835,479,1037,357,894,464,1017,361,
14:22:50.971,847,346,913,358,836,480,896,455,1021,359,1022,466,848,345,914,357,837,480,897,455,1022,359,1023,466,
14:22:51.051,848,345,913,358,897,455,837,481,1042,366,923,389,848,344,913,358,897,455,837,481,1042,365,923,389,
14:22:51.133,913,358,848,345,898,455,838,481,1043,366,924,388,913,358,848,344,898,455,838,481,1043,365,924,388,
14:22:51.214,898,455,849,345,913,359,925,389,1043,366,840,471,898,455,849,344,913,358,925,389,1043,365,840,471,
14:22:51.295,899,455,913,359,925,389,850,345,1044,366,841,471,899,455,913,359,925,389,850,344,1044,365,841,471,
14:22:51.376,899,455,926,389,914,359,852,335,1045,366,841,472,899,455,927,389,915,359,852,335,1046,366,841,472,
14:22:51.457,900,456,913,363,1046,366,927,389,852,345,1028,461,900,456,913,362,1046,366,927,389,852,344,1028,461,
14:22:51.539,901,456,915,360,1047,366,927,389,853,345,1029,461,901,456,915,360,1047,366,927,389,853,345,1029,461,
14:22:51.619,901,456,915,360,1047,366,928,389,853,345,842,483,901,456,915,360,1047,366,928,389,853,344,842,483,
14:22:51.699,916,360,902,456,928,389,1048,366,853,345,1030,462,916,360,902,456,928,389,1048,366,853,345,1030,462,
14:22:51.780,902,456,929,389,915,363,1049,367,1031,462,854,345,901,455,928,388,914,362,1048,366,1030,461,853,344,
14:22:51.861,916,360,902,457,1048,367,929,389,853,345,1030,462,915,359,902,457,1047,366,928,389,852,344,1029,462,
14:22:51.942,916,360,902,457,1048,367,928,389,853,345,1012,465,916,359,901,456,1047,367,928,388,853,344,1011,464,
14:22:52.022,916,360,902,457,1048,367,928,389,853,345,1111,413,915,359,901,456,1047,366,927,388,852,345,1110,412,
14:22:52.103,916,360,901,456,1047,366,928,389,853,345,1111,413,915,359,900,455,1046,365,927,388,852,344,1110,412,
14:22:52.184,901,456,915,360,1047,366,928,389,853,345,1029,461,900,455,914,359,1046,365,927,388,852,345,1028,460,
14:22:52.264,915,360,901,456,1047,366,853,345,928,389,1029,461,914,359,901,455,1047,365,853,345,928,388,1028,461,
14:22:52.344,915,360,901,456,1047,366,928,389,853,345,1029,461,914,359,900,455,1047,365,927,389,852,344,1028,460,
14:22:52.424,915,360,901,456,1047,366,853,345,927,389,1110,413,915,360,901,455,1047,365,853,344,927,388,1110,412,
14:22:52.506,915,360,901,456,1047,366,928,389,853,345,1029,461,915,359,901,455,1047,365,928,388,853,344,1029,460,
14:22:52.587,915,360,901,456,1047,366,853,345,928,389,1012,465,914,360,900,456,1046,366,852,345,927,388,1011,465,
14:22:52.667,901,456,915,360,1047,366,928,389,853,345,842,482,900,456,914,360,1046,366,927,389,852,344,841,482,
14:22:52.749,915,360,901,456,1047,366,853,345,928,389,1029,461,913,359,899,455,1045,365,851,344,926,388,1027,460,
14:22:52.830,914,359,899,455,1045,366,926,389,852,335,1027,461,913,358,898,453,1043,365,925,388,852,334,1026,459,
14:22:52.910,913,359,899,454,1044,365,926,388,852,334,1009,463,906,359,892,453,1035,365,919,388,846,334,1001,462,
14:22:52.990,907,359,1036,365,892,453,918,388,846,335,1018,459,903,359,1031,365,888,452,914,388,843,335,1013,458,
14:22:53.072,904,359,889,453,1031,366,914,388,843,336,812,380,896,358,881,450,1020,364,906,386,836,335,805,378,
14:22:53.152,896,358,881,451,1021,365,1004,456,906,386,835,344,891,357,876,449,1014,364,998,454,901,385,831,343,
14:22:53.233,891,358,877,449,1015,364,832,344,802,378,902,386,885,357,871,447,1007,363,826,344,796,377,895,385,
14:22:53.313,885,358,872,448,827,344,1007,364,1270,324,991,453,877,357,865,446,820,343,997,363,1255,324,981,451,
14:22:53.394,877,358,865,447,820,344,810,471,998,364,1256,324,872,357,860,445,815,343,805,468,991,363,1246,323,
14:22:53.475,860,445,873,357,816,343,806,469,992,363,787,376,854,442,867,356,811,342,801,466,983,362,782,375,
14:22:53.555,867,356,811,343,854,443,801,466,983,362,783,375,862,356,806,344,849,443,796,465,977,362,779,375,
14:22:53.638,862,357,849,443,807,343,797,466,779,376,978,363,856,357,843,441,802,343,792,464,774,375,970,363,
14:22:53.718,856,357,844,442,802,344,792,464,970,363,918,341,851,356,839,440,798,343,788,462,964,362,912,340,
14:22:53.799,851,357,798,344,840,440,788,463,964,362,950,445,846,357,793,344,835,439,783,461,957,362,944,443,
14:22:53.880,846,357,835,440,794,344,784,462,958,362,944,444,838,356,827,437,787,343,777,459,948,361,934,441,
14:22:53.961,838,358,787,343,828,437,778,459,948,361,934,442,833,357,783,342,823,435,774,457,941,360,928,440,
14:22:54.043,835,355,783,343,824,436,774,457,929,440,942,361,826,354,775,342,815,433,766,454,918,437,931,360,
14:22:54.123,825,357,776,343,815,433,767,455,931,360,918,438,820,356,771,343,810,431,762,453,924,359,911,436,
14:22:54.205,820,357,772,343,810,432,763,453,925,360,912,436,812,356,765,342,802,429,756,450,914,359,902,433,
14:22:54.285,814,354,765,342,803,430,756,451,914,359,902,434,809,353,761,341,799,428,752,449,908,358,896,432,
14:22:54.366,799,429,810,354,753,449,897,433,761,342,909,359,794,427,804,353,748,447,890,431,756,341,902,358,
14:22:54.448,803,356,757,342,794,428,748,448,891,432,902,359,796,355,751,342,787,426,742,446,883,430,893,358,
14:22:54.529,798,353,752,342,788,426,883,430,743,446,894,358,793,352,747,341,783,424,877,428,739,444,887,357,
14:22:54.610,792,355,784,425,748,342,739,444,877,429,888,358,785,354,777,423,742,342,733,442,869,427,879,357,
14:22:54.690,786,353,742,342,734,442,869,427,777,423,1094,305,781,352,738,341,730,440,863,425,772,421,1085,305,
14:22:54.771,783,352,864,426,773,422,730,441,738,342,1086,305,776,352,856,424,767,420,724,439,732,342,1074,305,
14:22:54.853,733,342,777,352,725,440,856,425,767,421,1074,306,729,341,773,351,721,438,851,423,763,419,1067,306,
14:22:54.933,852,424,772,354,730,341,764,420,722,438,1058,307,849,422,770,353,729,340,762,418,721,436,1053,307,
14:22:55.014,771,352,762,419,850,423,729,341,1062,307,721,437,765,351,756,417,843,421,723,341,1051,307,715,435,
14:22:55.096,767,351,723,341,757,418,844,421,716,435,1043,308,765,350,722,340,756,416,841,419,715,433,1039,307,
14:22:55.176,764,351,723,341,842,420,756,417,715,434,1048,307,760,350,719,340,837,418,752,415,711,432,1041,306,
14:22:55.260,837,419,762,350,712,433,720,340,752,416,1033,308,834,418,759,350,710,432,718,340,750,415,1029,308,
14:22:55.342,835,419,718,341,760,350,1029,308,710,433,750,415,831,417,715,340,757,349,1023,307,707,431,747,413,
14:22:55.426,831,418,756,350,715,340,747,415,1032,308,707,431,830,417,755,349,715,340,746,414,1029,308,707,430,
