Format Version,1.21,Take Name,chair_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 11.55.14 AM,Total Frames in Take,1789,Total Exported Frames,1789,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.364585,0.341462,0.302806
1,0.008333,0.364583,0.341467,0.302793
2,0.016667,0.364591,0.341461,0.302798
3,0.025000,0.364585,0.341467,0.302821
4,0.033333,0.364580,0.341449,0.302861
5,0.041667,0.364569,0.341446,0.302889
6,0.050000,0.364564,0.341437,0.302907
7,0.058333,0.364547,0.341432,0.302907
8,0.066667,0.364543,0.341441,0.302890
9,0.075000,0.364542,0.341444,0.302853
10,0.083333,0.364543,0.341447,0.302808
11,0.091667,0.364538,0.341456,0.302776
12,0.100000,0.364542,0.341474,0.302754
13,0.108333,0.364537,0.341456,0.302759
14,0.116667,0.364538,0.341449,0.302788
15,0.125000,0.364539,0.341450,0.302819
16,0.133333,0.364536,0.341443,0.302864
17,0.141667,0.364534,0.341433,0.302889
18,0.150000,0.364531,0.341427,0.302901
19,0.158333,0.364535,0.341434,0.302867
20,0.166667,0.364538,0.341450,0.302799
21,0.175000,0.364538,0.341460,0.302730
22,0.183333,0.364531,0.341474,0.302671
23,0.191667,0.364514,0.341480,0.302647
24,0.200000,0.364515,0.341469,0.302649
25,0.208333,0.364517,0.341467,0.302683
26,0.216667,0.364518,0.341456,0.302727
27,0.225000,0.364511,0.341449,0.302765
28,0.233333,0.364509,0.341442,0.302782
29,0.241667,0.364508,0.341451,0.302769
30,0.250000,0.364514,0.341451,0.302726
31,0.258333,0.364514,0.341464,0.302686
32,0.266667,0.364508,0.341468,0.302656
33,0.275000,0.364512,0.341473,0.302646
34,0.283333,0.364520,0.341466,0.302641
35,0.291667,0.364517,0.341471,0.302659
36,0.300000,0.364511,0.341463,0.302678
37,0.308333,0.364509,0.341465,0.302691
38,0.316667,0.364514,0.341459,0.302678
39,0.325000,0.364515,0.341468,0.302647
40,0.333333,0.364516,0.341475,0.302599
41,0.341667,0.364513,0.341487,0.302544
42,0.350000,0.364511,0.341500,0.302503
43,0.358333,0.364514,0.341504,0.302481
44,0.366667,0.364513,0.341513,0.302478
45,0.375000,0.364511,0.341499,0.302502
46,0.383333,0.364505,0.341493,0.302537
47,0.391667,0.364508,0.341483,0.302599
48,0.400000,0.364500,0.341478,0.302677
49,0.408333,0.364506,0.341447,0.302775
50,0.416667,0.364494,0.341427,0.302901
51,0.425000,0.364486,0.341386,0.303074
52,0.433333,0.364486,0.341345,0.303248
53,0.441667,0.364494,0.341291,0.303448
54,0.450000,0.364506,0.341265,0.303561
55,0.458333,0.364501,0.341284,0.303527
56,0.466667,0.364489,0.341322,0.303307
57,0.475000,0.364495,0.341395,0.302976
58,0.483333,0.364508,0.341480,0.302595
59,0.491667,0.364513,0.341558,0.302249
60,0.500000,0.364515,0.341600,0.302039
61,0.508333,0.364512,0.341586,0.302104
62,0.516667,0.364506,0.341529,0.302411
63,0.525000,0.364501,0.341449,0.302844
64,0.533333,0.364495,0.341345,0.303316
65,0.541667,0.364506,0.341266,0.303734
66,0.550000,0.364507,0.341250,0.303915
67,0.558333,0.364502,0.341258,0.303883
68,0.566667,0.364497,0.341291,0.303645
69,0.575000,0.364498,0.341361,0.303266
70,0.583333,0.364489,0.341444,0.302938
71,0.591667,0.364499,0.341487,0.302717
72,0.600000,0.364510,0.341499,0.302670
73,0.608333,0.364500,0.341479,0.302815
74,0.616667,0.364484,0.341414,0.303092
75,0.625000,0.364488,0.341338,0.303422
76,0.633333,0.364494,0.341291,0.303704
77,0.641667,0.364493,0.341276,0.303835
78,0.650000,0.364498,0.341280,0.303805
79,0.658333,0.364494,0.341302,0.303620
80,0.666667,0.364482,0.341356,0.303334
81,0.675000,0.364487,0.341425,0.303065
82,0.683333,0.364499,0.341467,0.302869
83,0.691667,0.364517,0.341475,0.302810
84,0.700000,0.364519,0.341454,0.302898
85,0.708333,0.364519,0.341422,0.303095
86,0.716667,0.364540,0.341369,0.303339
87,0.725000,0.364557,0.341317,0.303572
88,0.733333,0.364561,0.341295,0.303695
89,0.741667,0.364564,0.341311,0.303690
90,0.750000,0.364559,0.341330,0.303557
91,0.758333,0.364570,0.341365,0.303328
92,0.766667,0.364565,0.341415,0.303111
93,0.775000,0.364571,0.341458,0.302962
94,0.783333,0.364574,0.341468,0.302919
95,0.791667,0.364578,0.341449,0.302975
96,0.800000,0.364577,0.341413,0.303120
97,0.808333,0.364577,0.341374,0.303319
98,0.816667,0.364591,0.341336,0.303499
99,0.825000,0.364588,0.341315,0.303604
100,0.833333,0.364592,0.341321,0.303601
101,0.841667,0.364590,0.341339,0.303498
102,0.850000,0.364572,0.341375,0.303322
103,0.858333,0.364580,0.341411,0.303147
104,0.866667,0.364580,0.341442,0.303028
105,0.875000,0.364584,0.341449,0.302988
106,0.883333,0.364581,0.341434,0.303039
107,0.891667,0.364577,0.341415,0.303161
108,0.900000,0.364583,0.341381,0.303317
109,0.908333,0.364586,0.341349,0.303466
110,0.916667,0.364590,0.341333,0.303538
111,0.925000,0.364589,0.341333,0.303532
112,0.933333,0.364591,0.341356,0.303439
113,0.941667,0.364586,0.341385,0.303299
114,0.950000,0.364587,0.341413,0.303156
115,0.958333,0.364580,0.341429,0.303079
116,0.966667,0.364575,0.341430,0.303050
117,0.975000,0.364582,0.341421,0.303103
118,0.983333,0.364583,0.341394,0.303195
119,0.991667,0.364590,0.341379,0.303323
120,1.000000,0.364587,0.341356,0.303438
121,1.008333,0.364593,0.341348,0.303488
122,1.016667,0.364588,0.341339,0.303474
123,1.025000,0.364588,0.341363,0.303388
124,1.033333,0.364578,0.341384,0.303279
125,1.041667,0.364584,0.341406,0.303178
126,1.050000,0.364582,0.341420,0.303109
127,1.058333,0.364584,0.341418,0.303095
128,1.066667,0.364585,0.341414,0.303143
129,1.075000,0.364578,0.341392,0.303232
130,1.083333,0.364584,0.341369,0.303336
131,1.091667,0.364591,0.341360,0.303416
132,1.100000,0.364594,0.341352,0.303454
133,1.108333,0.364586,0.341359,0.303428
134,1.116667,0.364586,0.341363,0.303355
135,1.125000,0.364583,0.341393,0.303259
136,1.133333,0.364585,0.341408,0.303179
137,1.141667,0.364579,0.341415,0.303137
138,1.150000,0.364577,0.341412,0.303142
139,1.158333,0.364580,0.341406,0.303185
140,1.166667,0.364589,0.341390,0.303252
141,1.175000,0.364589,0.341379,0.303342
142,1.183333,0.364584,0.341368,0.303402
143,1.191667,0.364584,0.341350,0.303419
144,1.200000,0.364588,0.341364,0.303389
145,1.208333,0.364590,0.341377,0.303319
146,1.216667,0.364581,0.341396,0.303251
147,1.225000,0.364584,0.341401,0.303190
148,1.233333,0.364579,0.341410,0.303155
149,1.241667,0.364581,0.341411,0.303172
150,1.250000,0.364579,0.341401,0.303218
151,1.258333,0.364594,0.341388,0.303276
152,1.266667,0.364589,0.341367,0.303342
