Format Version,1.21,Take Name,chair_elore_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 11.56.54 AM,Total Frames in Take,1920,Total Exported Frames,1920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.363823,0.341945,0.310662
1,0.008333,0.363823,0.341944,0.310661
2,0.016667,0.363822,0.341948,0.310660
3,0.025000,0.363823,0.341952,0.310658
4,0.033333,0.363827,0.341945,0.310661
5,0.041667,0.363824,0.341936,0.310660
6,0.050000,0.363830,0.341942,0.310659
7,0.058333,0.363820,0.341951,0.310659
8,0.066667,0.363822,0.341946,0.310659
9,0.075000,0.363820,0.341953,0.310664
10,0.083333,0.363824,0.341942,0.310659
11,0.091667,0.363822,0.341944,0.310656
12,0.100000,0.363824,0.341945,0.310660
13,0.108333,0.363820,0.341949,0.310661
14,0.116667,0.363818,0.341951,0.310661
15,0.125000,0.363821,0.341945,0.310660
16,0.133333,0.363819,0.341945,0.310661
17,0.141667,0.363825,0.341945,0.310654
18,0.150000,0.363824,0.341950,0.310656
19,0.158333,0.363821,0.341946,0.310660
20,0.166667,0.363814,0.341948,0.310667
21,0.175000,0.363818,0.341950,0.310658
22,0.183333,0.363822,0.341947,0.310652
23,0.191667,0.363828,0.341954,0.310656
24,0.200000,0.363824,0.341948,0.310664
25,0.208333,0.363823,0.341945,0.310662
26,0.216667,0.363818,0.341944,0.310658
27,0.225000,0.363821,0.341953,0.310658
28,0.233333,0.363825,0.341947,0.310656
29,0.241667,0.363826,0.341940,0.310665
30,0.250000,0.363823,0.341941,0.310662
31,0.258333,0.363826,0.341944,0.310656
32,0.266667,0.363831,0.341948,0.310646
33,0.275000,0.363828,0.341955,0.310660
34,0.283333,0.363826,0.341946,0.310662
35,0.291667,0.363828,0.341939,0.310661
36,0.300000,0.363827,0.341945,0.310651
37,0.308333,0.363834,0.341945,0.310646
38,0.316667,0.363833,0.341938,0.310657
39,0.325000,0.363825,0.341950,0.310670
40,0.333333,0.363824,0.341949,0.310657
41,0.341667,0.363828,0.341953,0.310647
42,0.350000,0.363829,0.341942,0.310646
43,0.358333,0.363826,0.341942,0.310665
44,0.366667,0.363827,0.341938,0.310661
45,0.375000,0.363829,0.341949,0.310656
46,0.383333,0.363823,0.341952,0.310656
47,0.391667,0.363825,0.341941,0.310655
48,0.400000,0.363824,0.341945,0.310657
49,0.408333,0.363827,0.341948,0.310661
50,0.416667,0.363830,0.341942,0.310653
51,0.425000,0.363826,0.341945,0.310647
52,0.433333,0.363826,0.341946,0.310650
53,0.441667,0.363827,0.341946,0.310634
54,0.450000,0.363829,0.341951,0.310643
55,0.458333,0.363828,0.341947,0.310633
56,0.466667,0.363829,0.341948,0.310627
57,0.475000,0.363830,0.341943,0.310613
58,0.483333,0.363833,0.341950,0.310593
59,0.491667,0.363832,0.341963,0.310559
60,0.500000,0.363830,0.341965,0.310523
61,0.508333,0.363823,0.341974,0.310486
62,0.516667,0.363823,0.341968,0.310469
63,0.525000,0.363831,0.341976,0.310475
64,0.533333,0.363828,0.341971,0.310497
65,0.541667,0.363831,0.341964,0.310519
66,0.550000,0.363829,0.341949,0.310543
67,0.558333,0.363827,0.341958,0.310555
68,0.566667,0.363828,0.341952,0.310561
69,0.575000,0.363827,0.341960,0.310530
70,0.583333,0.363829,0.341967,0.310488
71,0.591667,0.363826,0.341984,0.310437
72,0.600000,0.363820,0.341986,0.310401
73,0.608333,0.363833,0.341985,0.310381
74,0.616667,0.363832,0.341991,0.310382
75,0.625000,0.363827,0.341989,0.310399
76,0.633333,0.363823,0.341978,0.310426
77,0.641667,0.363832,0.341970,0.310435
78,0.650000,0.363829,0.341974,0.310431
79,0.658333,0.363834,0.341976,0.310412
80,0.666667,0.363831,0.341988,0.310366
81,0.675000,0.363827,0.341997,0.310322
82,0.683333,0.363827,0.342002,0.310298
83,0.691667,0.363821,0.342003,0.310310
84,0.700000,0.363828,0.341995,0.310355
85,0.708333,0.363824,0.341983,0.310415
86,0.716667,0.363825,0.341963,0.310492
87,0.725000,0.363821,0.341950,0.310545
88,0.733333,0.363828,0.341953,0.310560
89,0.741667,0.363827,0.341956,0.310537
90,0.750000,0.363823,0.341970,0.310482
91,0.758333,0.363824,0.341987,0.310420
92,0.766667,0.363822,0.341998,0.310375
93,0.775000,0.363824,0.342002,0.310362
94,0.783333,0.363823,0.341993,0.310403
95,0.791667,0.363822,0.341973,0.310463
96,0.800000,0.363824,0.341964,0.310528
97,0.808333,0.363823,0.341953,0.310552
98,0.816667,0.363825,0.341961,0.310519
99,0.825000,0.363823,0.341971,0.310442
100,0.833333,0.363824,0.341998,0.310325
101,0.841667,0.363824,0.342028,0.310205
102,0.850000,0.363831,0.342050,0.310116
103,0.858333,0.363825,0.342046,0.310115
104,0.866667,0.363824,0.342030,0.310186
105,0.875000,0.363820,0.342009,0.310296
106,0.883333,0.363828,0.341984,0.310413
107,0.891667,0.363826,0.341965,0.310502
108,0.900000,0.363821,0.341954,0.310512
109,0.908333,0.363821,0.341967,0.310443
110,0.916667,0.363824,0.342002,0.310328
111,0.925000,0.363829,0.342026,0.310184
112,0.933333,0.363829,0.342048,0.310068
113,0.941667,0.363825,0.342053,0.310027
114,0.950000,0.363829,0.342048,0.310053
115,0.958333,0.363827,0.342040,0.310141
116,0.966667,0.363830,0.342017,0.310257
117,0.975000,0.363822,0.341989,0.310375
118,0.983333,0.363822,0.341962,0.310468
119,0.991667,0.363827,0.341959,0.310501
120,1.000000,0.363829,0.341971,0.310478
121,1.008333,0.363830,0.341980,0.310411
122,1.016667,0.363823,0.341999,0.310309
123,1.025000,0.363819,0.342022,0.310189
124,1.033333,0.363824,0.342048,0.310085
125,1.041667,0.363824,0.342050,0.310029
126,1.050000,0.363817,0.342052,0.310029
127,1.058333,0.363818,0.342047,0.310074
128,1.066667,0.363818,0.342026,0.310175
129,1.075000,0.363822,0.341994,0.310311
130,1.083333,0.363818,0.341976,0.310456
131,1.091667,0.363821,0.341944,0.310583
132,1.100000,0.363822,0.341935,0.310652
133,1.108333,0.363828,0.341931,0.310634
134,1.116667,0.363818,0.341949,0.310549
135,1.125000,0.363818,0.341976,0.310416
136,1.133333,0.363818,0.341999,0.310271
137,1.141667,0.363827,0.342023,0.310156
138,1.150000,0.363829,0.342032,0.310098
139,1.158333,0.363827,0.342031,0.310120
140,1.166667,0.363824,0.342014,0.310173
141,1.175000,0.363820,0.342005,0.310214
142,1.183333,0.363827,0.342014,0.310219
143,1.191667,0.363826,0.342020,0.310227
144,1.200000,0.363826,0.342015,0.310287
145,1.208333,0.363831,0.341993,0.310384
146,1.216667,0.363826,0.341964,0.310546
147,1.225000,0.363831,0.341930,0.310726
148,1.233333,0.363829,0.341908,0.310872
149,1.241667,0.363837,0.341891,0.310934
150,1.250000,0.363834,0.341894,0.310924
151,1.258333,0.363835,0.341908,0.310833
152,1.266667,0.363829,0.341937,0.310687
