Format Version,1.21,Take Name,chair_hatra,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.04.29 AM,Total Frames in Take,2644,Total Exported Frames,2644,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.350036,0.343814,0.976855
1,0.008333,0.350031,0.343820,0.976824
2,0.016667,0.350027,0.343829,0.976788
3,0.025000,0.350031,0.343825,0.976771
4,0.033333,0.350029,0.343828,0.976772
5,0.041667,0.350033,0.343822,0.976771
6,0.050000,0.350030,0.343833,0.976769
7,0.058333,0.350036,0.343817,0.976766
8,0.066667,0.350024,0.343824,0.976752
9,0.075000,0.350024,0.343832,0.976730
10,0.083333,0.350029,0.343834,0.976717
11,0.091667,0.350032,0.343830,0.976715
12,0.100000,0.350027,0.343832,0.976717
13,0.108333,0.350033,0.343829,0.976735
14,0.116667,0.350024,0.343823,0.976743
15,0.125000,0.350034,0.343814,0.976752
16,0.133333,0.350022,0.343828,0.976743
17,0.141667,0.350016,0.343835,0.976717
18,0.150000,0.350029,0.343832,0.976681
19,0.158333,0.350026,0.343834,0.976646
20,0.166667,0.350027,0.343837,0.976636
21,0.175000,0.350024,0.343837,0.976642
22,0.183333,0.350028,0.343840,0.976670
23,0.191667,0.350024,0.343826,0.976711
24,0.200000,0.350025,0.343830,0.976738
25,0.208333,0.350024,0.343828,0.976756
26,0.216667,0.350034,0.343820,0.976748
27,0.225000,0.350023,0.343830,0.976713
28,0.233333,0.350030,0.343833,0.976659
29,0.241667,0.350029,0.343842,0.976613
30,0.250000,0.350027,0.343846,0.976576
31,0.258333,0.350028,0.343838,0.976588
32,0.266667,0.350032,0.343837,0.976629
33,0.275000,0.350024,0.343831,0.976696
34,0.283333,0.350031,0.343816,0.976760
35,0.291667,0.350033,0.343814,0.976801
36,0.300000,0.350025,0.343822,0.976814
37,0.308333,0.350031,0.343822,0.976779
38,0.316667,0.350029,0.343829,0.976727
39,0.325000,0.350021,0.343838,0.976673
40,0.333333,0.350029,0.343837,0.976642
41,0.341667,0.350029,0.343836,0.976629
42,0.350000,0.350025,0.343839,0.976653
43,0.358333,0.350033,0.343829,0.976696
44,0.366667,0.350029,0.343831,0.976737
45,0.375000,0.350032,0.343823,0.976775
46,0.383333,0.350032,0.343814,0.976805
