Format Version,1.21,Take Name,chair_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.10.50 AM,Total Frames in Take,1753,Total Exported Frames,1753,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.358297,0.342341,0.928845
1,0.008333,0.358309,0.342320,0.928949
2,0.016667,0.358312,0.342318,0.928982
3,0.025000,0.358308,0.342325,0.928937
4,0.033333,0.358300,0.342347,0.928840
5,0.041667,0.358308,0.342374,0.928726
6,0.050000,0.358303,0.342389,0.928653
7,0.058333,0.358305,0.342391,0.928643
8,0.066667,0.358306,0.342380,0.928699
9,0.075000,0.358306,0.342358,0.928805
10,0.083333,0.358311,0.342335,0.928922
11,0.091667,0.358307,0.342320,0.929013
12,0.100000,0.358307,0.342314,0.929046
13,0.108333,0.358309,0.342318,0.929011
14,0.116667,0.358308,0.342338,0.928930
15,0.125000,0.358302,0.342356,0.928830
16,0.133333,0.358296,0.342374,0.928757
17,0.141667,0.358300,0.342376,0.928731
18,0.150000,0.358307,0.342372,0.928764
19,0.158333,0.358303,0.342361,0.928848
20,0.166667,0.358311,0.342341,0.928947
21,0.175000,0.358310,0.342316,0.929021
22,0.183333,0.358309,0.342313,0.929052
23,0.191667,0.358308,0.342325,0.929020
24,0.200000,0.358313,0.342331,0.928952
25,0.208333,0.358310,0.342348,0.928859
26,0.216667,0.358305,0.342368,0.928775
27,0.225000,0.358306,0.342383,0.928727
28,0.233333,0.358306,0.342376,0.928730
29,0.241667,0.358307,0.342362,0.928785
30,0.250000,0.358302,0.342363,0.928861
31,0.258333,0.358303,0.342342,0.928924
32,0.266667,0.358317,0.342327,0.928963
33,0.275000,0.358315,0.342326,0.928953
34,0.283333,0.358300,0.342344,0.928915
35,0.291667,0.358304,0.342349,0.928856
36,0.300000,0.358310,0.342365,0.928794
37,0.308333,0.358307,0.342370,0.928755
38,0.316667,0.358306,0.342373,0.928763
39,0.325000,0.358301,0.342367,0.928803
40,0.333333,0.358308,0.342345,0.928873
41,0.341667,0.358307,0.342332,0.928931
42,0.350000,0.358310,0.342331,0.928980
43,0.358333,0.358318,0.342326,0.928989
44,0.366667,0.358315,0.342333,0.928956
45,0.375000,0.358310,0.342339,0.928906
46,0.383333,0.358311,0.342359,0.928850
