Format Version,1.21,Take Name,chair_hatra_vegso,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.19.02 AM,Total Frames in Take,1679,Total Exported Frames,1679,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.361777,0.344085,0.905667
1,0.008333,0.361767,0.344118,0.905510
2,0.016667,0.361777,0.344133,0.905390
3,0.025000,0.361766,0.344143,0.905325
4,0.033333,0.361764,0.344142,0.905318
5,0.041667,0.361770,0.344142,0.905371
6,0.050000,0.361777,0.344117,0.905472
7,0.058333,0.361773,0.344099,0.905575
8,0.066667,0.361765,0.344084,0.905661
9,0.075000,0.361768,0.344077,0.905730
10,0.083333,0.361772,0.344067,0.905750
11,0.091667,0.361765,0.344069,0.905742
12,0.100000,0.361766,0.344071,0.905716
13,0.108333,0.361763,0.344087,0.905685
14,0.116667,0.361768,0.344099,0.905639
15,0.125000,0.361770,0.344096,0.905616
16,0.133333,0.361774,0.344097,0.905625
17,0.141667,0.361764,0.344092,0.905662
18,0.150000,0.361772,0.344083,0.905703
19,0.158333,0.361774,0.344070,0.905741
20,0.166667,0.361766,0.344070,0.905781
21,0.175000,0.361764,0.344069,0.905804
22,0.183333,0.361771,0.344059,0.905799
23,0.191667,0.361766,0.344061,0.905794
24,0.200000,0.361768,0.344072,0.905770
25,0.208333,0.361767,0.344076,0.905737
26,0.216667,0.361766,0.344084,0.905717
27,0.225000,0.361766,0.344082,0.905709
28,0.233333,0.361767,0.344092,0.905709
29,0.241667,0.361762,0.344082,0.905729
30,0.250000,0.361767,0.344066,0.905751
31,0.258333,0.361761,0.344065,0.905783
32,0.266667,0.361776,0.344060,0.905812
33,0.275000,0.361765,0.344063,0.905827
34,0.283333,0.361771,0.344062,0.905820
35,0.291667,0.361767,0.344062,0.905810
36,0.300000,0.361763,0.344068,0.905787
37,0.308333,0.361760,0.344076,0.905760
38,0.316667,0.361767,0.344073,0.905737
39,0.325000,0.361764,0.344084,0.905730
40,0.333333,0.361770,0.344078,0.905729
41,0.341667,0.361766,0.344072,0.905754
42,0.350000,0.361768,0.344069,0.905787
43,0.358333,0.361764,0.344062,0.905818
44,0.366667,0.361767,0.344055,0.905859
45,0.375000,0.361767,0.344048,0.905885
46,0.383333,0.361770,0.344047,0.905900
47,0.391667,0.361768,0.344053,0.905895
48,0.400000,0.361768,0.344056,0.905875
49,0.408333,0.361762,0.344060,0.905852
50,0.416667,0.361767,0.344063,0.905826
51,0.425000,0.361770,0.344069,0.905805
52,0.433333,0.361772,0.344066,0.905790
53,0.441667,0.361771,0.344072,0.905798
54,0.450000,0.361768,0.344063,0.905816
55,0.458333,0.361764,0.344059,0.905847
56,0.466667,0.361771,0.344053,0.905867
57,0.475000,0.361770,0.344050,0.905885
58,0.483333,0.361775,0.344047,0.905891
59,0.491667,0.361770,0.344054,0.905884
60,0.500000,0.361766,0.344054,0.905867
61,0.508333,0.361766,0.344066,0.905840
62,0.516667,0.361768,0.344067,0.905824
63,0.525000,0.361771,0.344066,0.905803
64,0.533333,0.361771,0.344063,0.905800
65,0.541667,0.361774,0.344064,0.905815
66,0.550000,0.361766,0.344065,0.905829
67,0.558333,0.361767,0.344058,0.905856
68,0.566667,0.361765,0.344053,0.905872
69,0.575000,0.361764,0.344053,0.905888
70,0.583333,0.361770,0.344047,0.905883
71,0.591667,0.361768,0.344061,0.905872
72,0.600000,0.361768,0.344060,0.905860
73,0.608333,0.361765,0.344062,0.905845
74,0.616667,0.361772,0.344057,0.905825
75,0.625000,0.361768,0.344063,0.905808
76,0.633333,0.361766,0.344067,0.905817
77,0.641667,0.361766,0.344063,0.905830
78,0.650000,0.361765,0.344061,0.905838
79,0.658333,0.361771,0.344055,0.905861
80,0.666667,0.361769,0.344053,0.905877
81,0.675000,0.361763,0.344060,0.905882
82,0.683333,0.361771,0.344050,0.905878
83,0.691667,0.361764,0.344058,0.905869
84,0.700000,0.361776,0.344061,0.905851
85,0.708333,0.361768,0.344061,0.905835
86,0.716667,0.361767,0.344062,0.905835
87,0.725000,0.361758,0.344068,0.905825
88,0.733333,0.361767,0.344066,0.905832
89,0.741667,0.361769,0.344061,0.905839
90,0.750000,0.361769,0.344056,0.905860
91,0.758333,0.361765,0.344054,0.905873
92,0.766667,0.361773,0.344050,0.905879
93,0.775000,0.361768,0.344056,0.905882
94,0.783333,0.361771,0.344053,0.905872
95,0.791667,0.361766,0.344058,0.905866
96,0.800000,0.361766,0.344057,0.905852
97,0.808333,0.361769,0.344059,0.905842
98,0.816667,0.361769,0.344061,0.905830
99,0.825000,0.361762,0.344067,0.905839
100,0.833333,0.361762,0.344058,0.905843
101,0.841667,0.361771,0.344063,0.905851
102,0.850000,0.361775,0.344053,0.905870
103,0.858333,0.361770,0.344055,0.905874
104,0.866667,0.361766,0.344048,0.905876
105,0.875000,0.361772,0.344052,0.905877
106,0.883333,0.361765,0.344057,0.905871
107,0.891667,0.361771,0.344054,0.905861
108,0.900000,0.361769,0.344051,0.905853
109,0.908333,0.361765,0.344064,0.905842
110,0.916667,0.361763,0.344063,0.905842
111,0.925000,0.361776,0.344059,0.905846
112,0.933333,0.361772,0.344053,0.905855
113,0.941667,0.361764,0.344059,0.905860
114,0.950000,0.361766,0.344061,0.905871
115,0.958333,0.361770,0.344056,0.905875
116,0.966667,0.361768,0.344056,0.905871
117,0.975000,0.361766,0.344055,0.905871
118,0.983333,0.361763,0.344061,0.905865
119,0.991667,0.361773,0.344054,0.905856
120,1.000000,0.361769,0.344057,0.905853
121,1.008333,0.361772,0.344056,0.905849
122,1.016667,0.361770,0.344060,0.905845
123,1.025000,0.361764,0.344063,0.905845
124,1.033333,0.361765,0.344061,0.905855
125,1.041667,0.361768,0.344052,0.905867
126,1.050000,0.361763,0.344057,0.905869
127,1.058333,0.361768,0.344057,0.905871
128,1.066667,0.361765,0.344056,0.905870
129,1.075000,0.361770,0.344056,0.905872
130,1.083333,0.361767,0.344060,0.905866
131,1.091667,0.361766,0.344058,0.905852
132,1.100000,0.361773,0.344061,0.905849
133,1.108333,0.361773,0.344054,0.905847
134,1.116667,0.361776,0.344053,0.905854
135,1.125000,0.361766,0.344055,0.905857
136,1.133333,0.361766,0.344059,0.905866
137,1.141667,0.361764,0.344060,0.905864
138,1.150000,0.361766,0.344059,0.905868
139,1.158333,0.361770,0.344055,0.905872
140,1.166667,0.361769,0.344056,0.905869
141,1.175000,0.361770,0.344055,0.905857
142,1.183333,0.361765,0.344066,0.905861
143,1.191667,0.361768,0.344059,0.905853
144,1.200000,0.361769,0.344060,0.905851
145,1.208333,0.361771,0.344065,0.905844
146,1.216667,0.361762,0.344071,0.905847
147,1.225000,0.361775,0.344062,0.905855
148,1.233333,0.361768,0.344053,0.905865
149,1.241667,0.361770,0.344069,0.905860
150,1.250000,0.361770,0.344066,0.905858
151,1.258333,0.361769,0.344062,0.905867
152,1.266667,0.361774,0.344059,0.905862
