Format Version,1.21,Take Name,keyboard_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.36.34 AM,Total Frames in Take,2230,Total Exported Frames,2230,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.372639,0.341356,0.540586
1,0.008333,0.372650,0.341505,0.540077
2,0.016667,0.372640,0.341614,0.539570
3,0.025000,0.372630,0.341700,0.539051
4,0.033333,0.372626,0.341751,0.538725
5,0.041667,0.372612,0.341769,0.538603
6,0.050000,0.372625,0.341761,0.538676
7,0.058333,0.372637,0.341729,0.538935
8,0.066667,0.372643,0.341677,0.539336
9,0.075000,0.372645,0.341599,0.539724
10,0.083333,0.372640,0.341547,0.539978
11,0.091667,0.372650,0.341532,0.540046
12,0.100000,0.372648,0.341559,0.539963
13,0.108333,0.372651,0.341605,0.539726
14,0.116667,0.372641,0.341668,0.539419
15,0.125000,0.372636,0.341715,0.539129
16,0.133333,0.372628,0.341738,0.538993
17,0.141667,0.372630,0.341734,0.539006
18,0.150000,0.372632,0.341723,0.539188
19,0.158333,0.372646,0.341668,0.539466
20,0.166667,0.372642,0.341615,0.539739
21,0.175000,0.372648,0.341580,0.539911
22,0.183333,0.372647,0.341559,0.539971
23,0.191667,0.372649,0.341580,0.539892
24,0.200000,0.372647,0.341612,0.539708
25,0.208333,0.372640,0.341670,0.539469
26,0.216667,0.372638,0.341710,0.539235
27,0.225000,0.372624,0.341730,0.539125
28,0.233333,0.372627,0.341726,0.539156
29,0.241667,0.372636,0.341701,0.539304
30,0.250000,0.372642,0.341650,0.539536
31,0.258333,0.372643,0.341615,0.539755
32,0.266667,0.372649,0.341586,0.539882
33,0.275000,0.372656,0.341570,0.539925
34,0.283333,0.372647,0.341584,0.539858
35,0.291667,0.372642,0.341617,0.539717
36,0.300000,0.372647,0.341647,0.539520
37,0.308333,0.372644,0.341686,0.539340
38,0.316667,0.372642,0.341701,0.539228
39,0.325000,0.372640,0.341705,0.539247
40,0.333333,0.372642,0.341679,0.539362
41,0.341667,0.372645,0.341642,0.539535
42,0.350000,0.372651,0.341600,0.539697
43,0.358333,0.372657,0.341585,0.539814
44,0.366667,0.372657,0.341579,0.539851
45,0.375000,0.372654,0.341591,0.539798
46,0.383333,0.372656,0.341603,0.539681
47,0.391667,0.372648,0.341636,0.539533
48,0.400000,0.372644,0.341668,0.539401
49,0.408333,0.372643,0.341685,0.539306
50,0.416667,0.372645,0.341688,0.539316
51,0.425000,0.372646,0.341672,0.539406
52,0.433333,0.372649,0.341636,0.539537
53,0.441667,0.372650,0.341612,0.539671
54,0.450000,0.372654,0.341599,0.539759
55,0.458333,0.372658,0.341594,0.539781
56,0.466667,0.372663,0.341591,0.539734
57,0.475000,0.372649,0.341621,0.539649
58,0.483333,0.372645,0.341649,0.539527
59,0.491667,0.372650,0.341666,0.539413
60,0.500000,0.372646,0.341680,0.539357
61,0.508333,0.372641,0.341680,0.539367
62,0.516667,0.372647,0.341671,0.539433
63,0.525000,0.372655,0.341642,0.539533
64,0.533333,0.372654,0.341623,0.539639
65,0.541667,0.372647,0.341618,0.539715
66,0.550000,0.372650,0.341604,0.539733
67,0.558333,0.372653,0.341611,0.539691
68,0.566667,0.372647,0.341629,0.539614
69,0.575000,0.372651,0.341652,0.539518
70,0.583333,0.372652,0.341660,0.539427
71,0.591667,0.372648,0.341674,0.539388
72,0.600000,0.372649,0.341674,0.539406
73,0.608333,0.372648,0.341657,0.539470
74,0.616667,0.372656,0.341640,0.539551
75,0.625000,0.372651,0.341634,0.539633
76,0.633333,0.372653,0.341617,0.539680
77,0.641667,0.372663,0.341607,0.539688
78,0.650000,0.372649,0.341620,0.539662
79,0.658333,0.372656,0.341629,0.539591
80,0.666667,0.372653,0.341646,0.539509
81,0.675000,0.372653,0.341669,0.539449
82,0.683333,0.372657,0.341672,0.539418
83,0.691667,0.372657,0.341669,0.539433
84,0.700000,0.372660,0.341652,0.539483
85,0.708333,0.372659,0.341643,0.539554
86,0.716667,0.372654,0.341629,0.539623
87,0.725000,0.372659,0.341621,0.539652
88,0.733333,0.372661,0.341622,0.539656
89,0.741667,0.372658,0.341625,0.539620
90,0.750000,0.372653,0.341641,0.539570
91,0.758333,0.372657,0.341652,0.539507
92,0.766667,0.372658,0.341661,0.539460
93,0.775000,0.372653,0.341676,0.539445
94,0.783333,0.372655,0.341664,0.539463
95,0.791667,0.372662,0.341654,0.539496
96,0.800000,0.372661,0.341644,0.539553
97,0.808333,0.372663,0.341638,0.539603
98,0.816667,0.372654,0.341634,0.539634
99,0.825000,0.372657,0.341628,0.539622
100,0.833333,0.372662,0.341631,0.539596
101,0.841667,0.372658,0.341644,0.539549
102,0.850000,0.372658,0.341658,0.539498
103,0.858333,0.372662,0.341662,0.539461
104,0.866667,0.372656,0.341670,0.539460
105,0.875000,0.372658,0.341664,0.539484
106,0.883333,0.372660,0.341656,0.539517
107,0.891667,0.372661,0.341646,0.539557
108,0.900000,0.372658,0.341638,0.539597
109,0.908333,0.372660,0.341639,0.539615
110,0.916667,0.372657,0.341644,0.539594
111,0.925000,0.372655,0.341649,0.539571
112,0.933333,0.372655,0.341656,0.539535
113,0.941667,0.372654,0.341668,0.539496
114,0.950000,0.372657,0.341669,0.539468
115,0.958333,0.372657,0.341672,0.539472
116,0.966667,0.372651,0.341673,0.539497
117,0.975000,0.372653,0.341660,0.539530
118,0.983333,0.372657,0.341657,0.539557
119,0.991667,0.372659,0.341654,0.539588
120,1.000000,0.372656,0.341654,0.539593
121,1.008333,0.372654,0.341655,0.539578
122,1.016667,0.372656,0.341663,0.539549
123,1.025000,0.372660,0.341673,0.539513
124,1.033333,0.372661,0.341684,0.539482
125,1.041667,0.372659,0.341681,0.539462
126,1.050000,0.372662,0.341695,0.539460
127,1.058333,0.372667,0.341685,0.539478
128,1.066667,0.372660,0.341684,0.539500
129,1.075000,0.372664,0.341678,0.539527
130,1.083333,0.372662,0.341674,0.539538
131,1.091667,0.372671,0.341676,0.539536
132,1.100000,0.372672,0.341677,0.539520
133,1.108333,0.372663,0.341689,0.539501
134,1.116667,0.372669,0.341689,0.539473
135,1.125000,0.372671,0.341693,0.539457
136,1.133333,0.372669,0.341705,0.539449
137,1.141667,0.372669,0.341698,0.539459
138,1.150000,0.372665,0.341695,0.539476
139,1.158333,0.372670,0.341685,0.539496
140,1.166667,0.372668,0.341683,0.539512
141,1.175000,0.372672,0.341680,0.539526
142,1.183333,0.372674,0.341683,0.539528
143,1.191667,0.372672,0.341679,0.539510
144,1.200000,0.372674,0.341688,0.539491
145,1.208333,0.372667,0.341696,0.539471
146,1.216667,0.372665,0.341699,0.539462
147,1.225000,0.372669,0.341698,0.539454
148,1.233333,0.372672,0.341692,0.539460
149,1.241667,0.372670,0.341690,0.539473
150,1.250000,0.372674,0.341685,0.539496
151,1.258333,0.372673,0.341680,0.539509
152,1.266667,0.372668,0.341683,0.539513
