Format Version,1.21,Take Name,keyboard_hatra,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.38.47 AM,Total Frames in Take,1900,Total Exported Frames,1900,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002
,,"8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.367254,0.341542,1.021757
1,0.008333,0.367246,0.341560,1.021686
2,0.016667,0.367243,0.341555,1.021700
3,0.025000,0.367259,0.341528,1.021801
4,0.033333,0.367257,0.341506,1.021950
5,0.041667,0.367270,0.341471,1.022095
6,0.050000,0.367275,0.341450,1.022190
7,0.058333,0.367270,0.341446,1.022179
8,0.066667,0.367263,0.341476,1.022069
9,0.075000,0.367255,0.341509,1.021898
10,0.083333,0.367251,0.341549,1.021712
11,0.091667,0.367250,0.341571,1.021596
12,0.100000,0.367244,0.341583,1.021567
13,0.108333,0.367248,0.341564,1.021657
14,0.116667,0.367254,0.341526,1.021825
15,0.125000,0.367263,0.341487,1.022008
16,0.133333,0.367272,0.341449,1.022169
17,0.141667,0.367271,0.341445,1.022255
18,0.150000,0.367276,0.341426,1.022272
19,0.158333,0.367271,0.341447,1.022223
20,0.166667,0.367263,0.341453,1.022164
21,0.175000,0.367261,0.341474,1.022106
22,0.183333,0.367251,0.341484,1.022063
23,0.191667,0.367259,0.341492,1.022051
24,0.200000,0.367260,0.341479,1.022076
25,0.208333,0.367263,0.341464,1.022118
26,0.216667,0.367265,0.341450,1.022182
27,0.225000,0.367266,0.341441,1.022205
28,0.233333,0.367266,0.341451,1.022179
29,0.241667,0.367268,0.341465,1.022121
30,0.250000,0.367265,0.341479,1.022059
31,0.258333,0.367257,0.341485,1.022005
32,0.266667,0.367261,0.341499,1.021971
33,0.275000,0.367256,0.341504,1.021973
34,0.283333,0.367258,0.341499,1.022011
35,0.291667,0.367275,0.341481,1.022073
36,0.300000,0.367268,0.341460,1.022146
