Format Version,1.21,Take Name,keyboard_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 12.47.49 AM,Total Frames in Take,1825,Total Exported Frames,1825,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.365728,0.341197,1.027415
1,0.008333,0.365724,0.341206,1.027351
2,0.016667,0.365723,0.341215,1.027282
3,0.025000,0.365731,0.341226,1.027206
4,0.033333,0.365732,0.341237,1.027158
5,0.041667,0.365722,0.341254,1.027147
6,0.050000,0.365729,0.341238,1.027180
7,0.058333,0.365732,0.341212,1.027237
8,0.066667,0.365731,0.341211,1.027293
9,0.075000,0.365725,0.341208,1.027328
10,0.083333,0.365729,0.341216,1.027338
11,0.091667,0.365727,0.341206,1.027320
12,0.100000,0.365730,0.341210,1.027286
13,0.108333,0.365729,0.341227,1.027243
14,0.116667,0.365727,0.341229,1.027220
15,0.125000,0.365729,0.341223,1.027215
16,0.133333,0.365714,0.341233,1.027239
17,0.141667,0.365720,0.341218,1.027272
18,0.150000,0.365730,0.341208,1.027317
19,0.158333,0.365730,0.341203,1.027336
20,0.166667,0.365733,0.341205,1.027340
21,0.175000,0.365732,0.341205,1.027315
22,0.183333,0.365729,0.341222,1.027262
23,0.191667,0.365722,0.341233,1.027209
24,0.200000,0.365719,0.341242,1.027168
25,0.208333,0.365728,0.341241,1.027168
26,0.216667,0.365725,0.341239,1.027189
27,0.225000,0.365721,0.341229,1.027227
28,0.233333,0.365728,0.341214,1.027271
29,0.241667,0.365732,0.341214,1.027301
30,0.250000,0.365732,0.341208,1.027309
31,0.258333,0.365738,0.341207,1.027287
32,0.266667,0.365731,0.341231,1.027239
33,0.275000,0.365728,0.341236,1.027179
34,0.283333,0.365725,0.341235,1.027118
35,0.291667,0.365726,0.341254,1.027080
36,0.300000,0.365726,0.341251,1.027077
37,0.308333,0.365725,0.341250,1.027087
38,0.316667,0.365728,0.341236,1.027117
39,0.325000,0.365728,0.341228,1.027142
40,0.333333,0.365720,0.341240,1.027154
41,0.341667,0.365722,0.341236,1.027132
42,0.350000,0.365726,0.341244,1.027097
43,0.358333,0.365727,0.341257,1.027035
44,0.366667,0.365722,0.341270,1.026966
45,0.375000,0.365728,0.341256,1.026928
46,0.383333,0.365732,0.341232,1.027004
47,0.391667,0.365737,0.341181,1.027282
48,0.400000,0.365739,0.341084,1.027702
49,0.408333,0.365748,0.341012,1.028058
50,0.416667,0.365748,0.340991,1.028237
51,0.425000,0.365740,0.341010,1.028135
52,0.433333,0.365735,0.341088,1.027809
53,0.441667,0.365737,0.341190,1.027350
54,0.450000,0.365737,0.341283,1.026895
55,0.458333,0.365732,0.341343,1.026569
56,0.466667,0.365728,0.341374,1.026490
57,0.475000,0.365738,0.341328,1.026670
58,0.483333,0.365730,0.341266,1.027042
59,0.491667,0.365736,0.341177,1.027487
60,0.500000,0.365731,0.341104,1.027857
61,0.508333,0.365741,0.341057,1.028061
62,0.516667,0.365734,0.341061,1.028034
63,0.525000,0.365734,0.341106,1.027816
64,0.533333,0.365735,0.341187,1.027447
65,0.541667,0.365727,0.341266,1.027060
66,0.550000,0.365738,0.341316,1.026768
67,0.558333,0.365737,0.341340,1.026656
68,0.566667,0.365732,0.341319,1.026746
69,0.575000,0.365732,0.341271,1.026999
70,0.583333,0.365738,0.341215,1.027312
71,0.591667,0.365734,0.341160,1.027589
72,0.600000,0.365732,0.341118,1.027745
73,0.608333,0.365733,0.341126,1.027743
74,0.616667,0.365731,0.341158,1.027584
75,0.625000,0.365740,0.341214,1.027321
76,0.633333,0.365726,0.341269,1.027041
77,0.641667,0.365728,0.341302,1.026847
78,0.650000,0.365724,0.341326,1.026780
79,0.658333,0.365737,0.341293,1.026879
80,0.666667,0.365732,0.341258,1.027086
81,0.675000,0.365732,0.341222,1.027346
82,0.683333,0.365731,0.341165,1.027579
83,0.691667,0.365729,0.341136,1.027713
84,0.700000,0.365725,0.341134,1.027717
85,0.708333,0.365728,0.341164,1.027610
86,0.716667,0.365734,0.341195,1.027423
87,0.725000,0.365721,0.341245,1.027240
88,0.733333,0.365727,0.341264,1.027114
89,0.741667,0.365722,0.341276,1.027082
90,0.750000,0.365726,0.341260,1.027161
91,0.758333,0.365731,0.341227,1.027313
92,0.766667,0.365732,0.341184,1.027469
93,0.775000,0.365739,0.341162,1.027599
94,0.783333,0.365732,0.341153,1.027648
95,0.791667,0.365733,0.341163,1.027607
96,0.800000,0.365731,0.341184,1.027498
97,0.808333,0.365731,0.341212,1.027347
98,0.816667,0.365732,0.341239,1.027226
99,0.825000,0.365726,0.341258,1.027154
100,0.833333,0.365728,0.341262,1.027156
101,0.841667,0.365730,0.341240,1.027232
102,0.850000,0.365725,0.341216,1.027343
103,0.858333,0.365732,0.341199,1.027451
104,0.866667,0.365732,0.341177,1.027528
105,0.875000,0.365737,0.341171,1.027546
106,0.883333,0.365737,0.341186,1.027492
107,0.891667,0.365729,0.341203,1.027405
108,0.900000,0.365726,0.341232,1.027304
109,0.908333,0.365725,0.341247,1.027223
110,0.916667,0.365733,0.341249,1.027188
111,0.925000,0.365730,0.341240,1.027212
112,0.933333,0.365730,0.341235,1.027280
113,0.941667,0.365736,0.341213,1.027366
114,0.950000,0.365734,0.341196,1.027440
115,0.958333,0.365729,0.341196,1.027482
116,0.966667,0.365733,0.341188,1.027469
117,0.975000,0.365734,0.341189,1.027421
118,0.983333,0.365732,0.341215,1.027346
119,0.991667,0.365737,0.341229,1.027278
120,1.000000,0.365731,0.341242,1.027225
121,1.008333,0.365737,0.341227,1.027226
122,1.016667,0.365728,0.341240,1.027260
123,1.025000,0.365732,0.341224,1.027320
124,1.033333,0.365724,0.341211,1.027381
125,1.041667,0.365736,0.341191,1.027430
126,1.050000,0.365721,0.341206,1.027444
127,1.058333,0.365737,0.341198,1.027424
128,1.066667,0.365732,0.341215,1.027376
129,1.075000,0.365729,0.341227,1.027313
130,1.083333,0.365735,0.341231,1.027267
131,1.091667,0.365742,0.341229,1.027245
132,1.100000,0.365736,0.341234,1.027252
133,1.108333,0.365736,0.341223,1.027289
134,1.116667,0.365734,0.341219,1.027340
135,1.125000,0.365737,0.341199,1.027389
136,1.133333,0.365735,0.341191,1.027418
137,1.141667,0.365733,0.341203,1.027409
138,1.150000,0.365736,0.341216,1.027377
139,1.158333,0.365734,0.341215,1.027338
140,1.166667,0.365729,0.341230,1.027289
141,1.175000,0.365740,0.341234,1.027261
142,1.183333,0.365734,0.341243,1.027254
143,1.191667,0.365730,0.341236,1.027272
144,1.200000,0.365730,0.341231,1.027316
145,1.208333,0.365730,0.341224,1.027349
146,1.216667,0.365744,0.341207,1.027384
147,1.225000,0.365741,0.341203,1.027388
148,1.233333,0.365737,0.341214,1.027370
149,1.241667,0.365738,0.341221,1.027339
150,1.250000,0.365748,0.341219,1.027302
151,1.258333,0.365746,0.341230,1.027273
152,1.266667,0.365746,0.341242,1.027260
