Format Version,1.21,Take Name,mineral_water_hatra,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 01.28.35 PM,Total Frames in Take,1813,Total Exported Frames,1813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.354983,0.344344,1.043884
1,0.008333,0.354981,0.344349,1.043894
2,0.016667,0.354974,0.344351,1.043866
3,0.025000,0.354979,0.344360,1.043793
4,0.033333,0.354977,0.344377,1.043709
5,0.041667,0.354974,0.344397,1.043652
6,0.050000,0.354967,0.344403,1.043633
7,0.058333,0.354974,0.344393,1.043667
8,0.066667,0.354980,0.344367,1.043762
9,0.075000,0.354984,0.344346,1.043864
10,0.083333,0.354982,0.344344,1.043939
11,0.091667,0.354987,0.344338,1.043956
12,0.100000,0.354979,0.344341,1.043920
13,0.108333,0.354980,0.344353,1.043845
14,0.116667,0.354974,0.344373,1.043767
15,0.125000,0.354977,0.344377,1.043727
16,0.133333,0.354974,0.344365,1.043786
17,0.141667,0.354981,0.344343,1.043907
18,0.150000,0.354998,0.344304,1.044088
19,0.158333,0.355002,0.344271,1.044286
20,0.166667,0.355005,0.344246,1.044424
21,0.175000,0.355008,0.344233,1.044453
22,0.183333,0.355003,0.344254,1.044363
23,0.191667,0.354995,0.344287,1.044160
24,0.200000,0.354986,0.344337,1.043934
25,0.208333,0.354987,0.344378,1.043764
26,0.216667,0.354973,0.344387,1.043697
27,0.225000,0.354979,0.344383,1.043744
28,0.233333,0.354984,0.344354,1.043879
29,0.241667,0.354995,0.344329,1.044045
30,0.250000,0.354999,0.344302,1.044208
31,0.258333,0.355003,0.344285,1.044296
32,0.266667,0.355001,0.344280,1.044293
33,0.275000,0.355003,0.344296,1.044213
34,0.283333,0.354994,0.344323,1.044074
35,0.291667,0.354988,0.344346,1.043941
36,0.300000,0.354984,0.344363,1.043874
37,0.308333,0.354985,0.344361,1.043866
38,0.316667,0.354997,0.344345,1.043934
39,0.325000,0.355001,0.344320,1.044052
40,0.333333,0.355001,0.344308,1.044164
41,0.341667,0.354995,0.344297,1.044236
42,0.350000,0.355005,0.344298,1.044243
43,0.358333,0.355007,0.344296,1.044201
44,0.366667,0.355005,0.344322,1.044113
45,0.375000,0.354995,0.344333,1.044014
46,0.383333,0.354998,0.344342,1.043957
