Format Version,1.21,Take Name,mineral_water_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 01.31.35 PM,Total Frames in Take,1419,Total Exported Frames,1419,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.361722,0.344975,1.021515
1,0.008333,0.361721,0.344954,1.021583
2,0.016667,0.361716,0.344936,1.021683
3,0.025000,0.361721,0.344912,1.021809
4,0.033333,0.361726,0.344889,1.021942
5,0.041667,0.361716,0.344864,1.022090
6,0.050000,0.361710,0.344826,1.022262
7,0.058333,0.361712,0.344795,1.022426
8,0.066667,0.361706,0.344784,1.022528
9,0.075000,0.361709,0.344776,1.022558
10,0.083333,0.361698,0.344806,1.022506
11,0.091667,0.361716,0.344818,1.022375
12,0.100000,0.361720,0.344853,1.022194
13,0.108333,0.361724,0.344885,1.021998
14,0.116667,0.361722,0.344926,1.021838
15,0.125000,0.361725,0.344938,1.021732
16,0.133333,0.361734,0.344948,1.021697
17,0.141667,0.361727,0.344931,1.021737
18,0.150000,0.361721,0.344931,1.021840
19,0.158333,0.361722,0.344902,1.021992
20,0.166667,0.361723,0.344871,1.022177
21,0.175000,0.361720,0.344830,1.022344
22,0.183333,0.361716,0.344813,1.022460
23,0.191667,0.361709,0.344799,1.022516
24,0.200000,0.361709,0.344810,1.022496
25,0.208333,0.361709,0.344829,1.022395
26,0.216667,0.361719,0.344861,1.022249
27,0.225000,0.361726,0.344876,1.022092
28,0.233333,0.361727,0.344904,1.021953
29,0.241667,0.361727,0.344918,1.021855
30,0.250000,0.361727,0.344936,1.021793
31,0.258333,0.361724,0.344945,1.021792
32,0.266667,0.361723,0.344923,1.021853
33,0.275000,0.361721,0.344907,1.021959
34,0.283333,0.361719,0.344880,1.022082
35,0.291667,0.361719,0.344865,1.022207
36,0.300000,0.361717,0.344845,1.022307
37,0.308333,0.361717,0.344833,1.022370
38,0.316667,0.361707,0.344842,1.022373
39,0.325000,0.361721,0.344840,1.022326
40,0.333333,0.361721,0.344867,1.022237
41,0.341667,0.361732,0.344879,1.022142
42,0.350000,0.361724,0.344896,1.022054
43,0.358333,0.361730,0.344897,1.022001
44,0.366667,0.361731,0.344905,1.021980
45,0.375000,0.361728,0.344907,1.022006
46,0.383333,0.361730,0.344896,1.022058
47,0.391667,0.361720,0.344883,1.022139
48,0.400000,0.361720,0.344859,1.022222
49,0.408333,0.361724,0.344842,1.022299
50,0.416667,0.361724,0.344836,1.022343
51,0.425000,0.361724,0.344831,1.022347
52,0.433333,0.361715,0.344847,1.022302
53,0.441667,0.361721,0.344864,1.022239
54,0.450000,0.361724,0.344878,1.022164
55,0.458333,0.361726,0.344884,1.022095
56,0.466667,0.361722,0.344897,1.022042
57,0.475000,0.361724,0.344900,1.022020
58,0.483333,0.361725,0.344901,1.022034
59,0.491667,0.361729,0.344886,1.022081
60,0.500000,0.361719,0.344879,1.022139
61,0.508333,0.361719,0.344879,1.022206
62,0.516667,0.361722,0.344846,1.022269
63,0.525000,0.361722,0.344852,1.022307
64,0.533333,0.361713,0.344850,1.022312
65,0.541667,0.361724,0.344843,1.022288
66,0.550000,0.361720,0.344857,1.022230
67,0.558333,0.361713,0.344882,1.022169
68,0.566667,0.361716,0.344890,1.022117
69,0.575000,0.361725,0.344886,1.022069
70,0.583333,0.361718,0.344893,1.022052
71,0.591667,0.361724,0.344897,1.022056
72,0.600000,0.361721,0.344892,1.022091
73,0.608333,0.361721,0.344877,1.022144
74,0.616667,0.361724,0.344867,1.022198
75,0.625000,0.361720,0.344864,1.022241
76,0.633333,0.361726,0.344854,1.022275
77,0.641667,0.361716,0.344850,1.022290
78,0.650000,0.361710,0.344860,1.022264
79,0.658333,0.361722,0.344860,1.022222
80,0.666667,0.361717,0.344882,1.022174
81,0.675000,0.361723,0.344887,1.022136
82,0.683333,0.361722,0.344894,1.022092
83,0.691667,0.361722,0.344895,1.022076
84,0.700000,0.361726,0.344899,1.022080
85,0.708333,0.361718,0.344898,1.022105
86,0.716667,0.361715,0.344890,1.022149
87,0.725000,0.361717,0.344877,1.022197
88,0.733333,0.361717,0.344874,1.022234
89,0.741667,0.361720,0.344868,1.022259
90,0.750000,0.361719,0.344864,1.022265
91,0.758333,0.361708,0.344870,1.022249
92,0.766667,0.361718,0.344871,1.022215
93,0.775000,0.361722,0.344883,1.022174
94,0.783333,0.361720,0.344890,1.022140
95,0.791667,0.361719,0.344887,1.022113
96,0.800000,0.361726,0.344892,1.022096
97,0.808333,0.361722,0.344896,1.022094
98,0.816667,0.361722,0.344900,1.022119
99,0.825000,0.361725,0.344875,1.022157
100,0.833333,0.361721,0.344876,1.022195
101,0.841667,0.361715,0.344878,1.022218
102,0.850000,0.361720,0.344871,1.022240
103,0.858333,0.361723,0.344863,1.022250
104,0.866667,0.361719,0.344866,1.022237
105,0.875000,0.361714,0.344872,1.022215
106,0.883333,0.361724,0.344876,1.022181
107,0.891667,0.361723,0.344886,1.022148
108,0.900000,0.361721,0.344891,1.022127
109,0.908333,0.361716,0.344893,1.022117
110,0.916667,0.361725,0.344890,1.022121
111,0.925000,0.361722,0.344883,1.022130
112,0.933333,0.361718,0.344879,1.022161
113,0.941667,0.361714,0.344874,1.022189
114,0.950000,0.361717,0.344876,1.022211
115,0.958333,0.361717,0.344873,1.022236
116,0.966667,0.361716,0.344878,1.022238
117,0.975000,0.361715,0.344869,1.022231
118,0.983333,0.361712,0.344876,1.022209
119,0.991667,0.361727,0.344875,1.022183
120,1.000000,0.361724,0.344884,1.022157
121,1.008333,0.361728,0.344879,1.022138
122,1.016667,0.361715,0.344894,1.022128
123,1.025000,0.361720,0.344886,1.022132
124,1.033333,0.361730,0.344887,1.022148
125,1.041667,0.361721,0.344879,1.022172
126,1.050000,0.361719,0.344878,1.022196
127,1.058333,0.361715,0.344861,1.022215
128,1.066667,0.361723,0.344872,1.022227
129,1.075000,0.361718,0.344868,1.022231
130,1.083333,0.361719,0.344867,1.022226
131,1.091667,0.361715,0.344871,1.022204
132,1.100000,0.361713,0.344878,1.022186
133,1.108333,0.361714,0.344878,1.022163
134,1.116667,0.361729,0.344872,1.022148
135,1.125000,0.361722,0.344881,1.022140
136,1.133333,0.361719,0.344884,1.022141
137,1.141667,0.361715,0.344878,1.022147
138,1.150000,0.361723,0.344873,1.022169
139,1.158333,0.361723,0.344871,1.022198
140,1.166667,0.361712,0.344873,1.022213
141,1.175000,0.361724,0.344866,1.022218
142,1.183333,0.361720,0.344867,1.022224
143,1.191667,0.361717,0.344874,1.022219
144,1.200000,0.361724,0.344865,1.022200
145,1.208333,0.361722,0.344872,1.022180
146,1.216667,0.361724,0.344877,1.022156
147,1.225000,0.361722,0.344881,1.022149
148,1.233333,0.361730,0.344881,1.022149
149,1.241667,0.361726,0.344880,1.022145
150,1.250000,0.361733,0.344876,1.022156
151,1.258333,0.361731,0.344873,1.022171
152,1.266667,0.361719,0.344880,1.022191
