Format Version,1.21,Take Name,monitor_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.03.52 PM,Total Frames in Take,2271,Total Exported Frames,2271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.362020,0.337726,0.279058
1,0.008333,0.362023,0.337731,0.279065
2,0.016667,0.362022,0.337725,0.279051
3,0.025000,0.362016,0.337730,0.279024
4,0.033333,0.362017,0.337731,0.278989
5,0.041667,0.362012,0.337737,0.278941
6,0.050000,0.362015,0.337758,0.278927
7,0.058333,0.362009,0.337732,0.278929
8,0.066667,0.362020,0.337751,0.278972
9,0.075000,0.362007,0.337728,0.278999
10,0.083333,0.362021,0.337725,0.279026
11,0.091667,0.362017,0.337726,0.279024
12,0.100000,0.362018,0.337738,0.278993
13,0.108333,0.362006,0.337748,0.278930
14,0.116667,0.362006,0.337741,0.278849
15,0.125000,0.362002,0.337766,0.278813
16,0.133333,0.362009,0.337759,0.278800
17,0.141667,0.362011,0.337759,0.278843
18,0.150000,0.362006,0.337741,0.278894
19,0.158333,0.362015,0.337726,0.278950
20,0.166667,0.362015,0.337730,0.278975
21,0.175000,0.362013,0.337734,0.278942
22,0.183333,0.362001,0.337740,0.278865
23,0.191667,0.362002,0.337743,0.278784
24,0.200000,0.361995,0.337785,0.278729
25,0.208333,0.362006,0.337778,0.278726
26,0.216667,0.362009,0.337759,0.278783
27,0.225000,0.362008,0.337743,0.278869
28,0.233333,0.362008,0.337736,0.278967
29,0.241667,0.362016,0.337715,0.279010
30,0.250000,0.362022,0.337723,0.278993
31,0.258333,0.362010,0.337731,0.278902
32,0.266667,0.362002,0.337757,0.278787
33,0.275000,0.361995,0.337780,0.278680
34,0.283333,0.362000,0.337797,0.278639
35,0.291667,0.362003,0.337784,0.278673
36,0.300000,0.362006,0.337775,0.278787
37,0.308333,0.362009,0.337731,0.278908
38,0.316667,0.362028,0.337712,0.279031
39,0.325000,0.362022,0.337708,0.279046
40,0.333333,0.362022,0.337732,0.278991
41,0.341667,0.362002,0.337741,0.278851
42,0.350000,0.362006,0.337764,0.278730
43,0.358333,0.361996,0.337783,0.278639
44,0.366667,0.362004,0.337807,0.278631
45,0.375000,0.362009,0.337780,0.278715
46,0.383333,0.362008,0.337745,0.278860
47,0.391667,0.362020,0.337712,0.279007
48,0.400000,0.362025,0.337707,0.279104
49,0.408333,0.362025,0.337710,0.279090
50,0.416667,0.362022,0.337723,0.278983
51,0.425000,0.362009,0.337745,0.278807
52,0.433333,0.361996,0.337782,0.278651
53,0.441667,0.361991,0.337815,0.278541
54,0.450000,0.361999,0.337815,0.278527
55,0.458333,0.361996,0.337790,0.278624
56,0.466667,0.362002,0.337756,0.278771
57,0.475000,0.362012,0.337725,0.278909
58,0.483333,0.362017,0.337714,0.278992
59,0.491667,0.362016,0.337709,0.278978
60,0.500000,0.362003,0.337729,0.278875
61,0.508333,0.361998,0.337754,0.278731
62,0.516667,0.361992,0.337797,0.278579
63,0.525000,0.362000,0.337822,0.278492
64,0.533333,0.361996,0.337823,0.278520
65,0.541667,0.361990,0.337790,0.278649
66,0.550000,0.362003,0.337741,0.278844
67,0.558333,0.362020,0.337707,0.279093
68,0.566667,0.362046,0.337652,0.279389
69,0.575000,0.362042,0.337587,0.279716
70,0.583333,0.362023,0.337538,0.279983
71,0.591667,0.362018,0.337511,0.280139
72,0.600000,0.362021,0.337510,0.280137
73,0.608333,0.362019,0.337549,0.279938
74,0.616667,0.362023,0.337612,0.279575
75,0.625000,0.362007,0.337693,0.279154
76,0.633333,0.361982,0.337743,0.278879
77,0.641667,0.361977,0.337776,0.278812
78,0.650000,0.361982,0.337749,0.278952
79,0.658333,0.362003,0.337717,0.279274
80,0.666667,0.362013,0.337643,0.279668
81,0.675000,0.362005,0.337590,0.279956
82,0.683333,0.362004,0.337566,0.280085
83,0.691667,0.362009,0.337579,0.280025
84,0.700000,0.362012,0.337616,0.279792
85,0.708333,0.362006,0.337686,0.279414
86,0.716667,0.361986,0.337739,0.279065
87,0.725000,0.361978,0.337765,0.278878
88,0.733333,0.361985,0.337766,0.278913
89,0.741667,0.361999,0.337735,0.279155
90,0.750000,0.362017,0.337670,0.279544
91,0.758333,0.362012,0.337602,0.279912
92,0.766667,0.362011,0.337562,0.280148
93,0.775000,0.362015,0.337553,0.280225
94,0.783333,0.362009,0.337566,0.280130
95,0.791667,0.362013,0.337607,0.279893
96,0.800000,0.362019,0.337672,0.279555
97,0.808333,0.362012,0.337735,0.279228
98,0.816667,0.361996,0.337757,0.279067
99,0.825000,0.361996,0.337744,0.279091
100,0.833333,0.362009,0.337716,0.279301
101,0.841667,0.362017,0.337660,0.279616
102,0.850000,0.362015,0.337620,0.279895
103,0.858333,0.362019,0.337581,0.280087
104,0.866667,0.362015,0.337566,0.280144
105,0.875000,0.362013,0.337584,0.280079
106,0.883333,0.362012,0.337615,0.279898
107,0.891667,0.362019,0.337651,0.279657
108,0.900000,0.362018,0.337704,0.279420
109,0.908333,0.362009,0.337736,0.279293
110,0.916667,0.362001,0.337732,0.279331
111,0.925000,0.362014,0.337698,0.279506
112,0.933333,0.362014,0.337651,0.279773
113,0.941667,0.362007,0.337610,0.280017
114,0.950000,0.362000,0.337574,0.280199
115,0.958333,0.362004,0.337559,0.280284
116,0.966667,0.362002,0.337572,0.280252
117,0.975000,0.362002,0.337594,0.280119
118,0.983333,0.362005,0.337623,0.279931
119,0.991667,0.362008,0.337661,0.279722
120,1.000000,0.362006,0.337700,0.279551
121,1.008333,0.362006,0.337711,0.279490
122,1.016667,0.362013,0.337696,0.279545
123,1.025000,0.362011,0.337665,0.279711
124,1.033333,0.362001,0.337643,0.279898
125,1.041667,0.362007,0.337614,0.280060
126,1.050000,0.362005,0.337591,0.280166
127,1.058333,0.362006,0.337578,0.280174
128,1.066667,0.362006,0.337592,0.280114
129,1.075000,0.362007,0.337626,0.279985
130,1.083333,0.362006,0.337652,0.279822
131,1.091667,0.362014,0.337670,0.279674
132,1.100000,0.362010,0.337688,0.279595
133,1.108333,0.362011,0.337684,0.279606
134,1.116667,0.362011,0.337658,0.279705
135,1.125000,0.362014,0.337627,0.279841
136,1.133333,0.362005,0.337616,0.279972
137,1.141667,0.362014,0.337600,0.280070
138,1.150000,0.362015,0.337575,0.280107
139,1.158333,0.362011,0.337582,0.280091
140,1.166667,0.362013,0.337603,0.280003
141,1.175000,0.362013,0.337625,0.279882
142,1.183333,0.362022,0.337645,0.279764
143,1.191667,0.362017,0.337667,0.279676
144,1.200000,0.362017,0.337673,0.279651
145,1.208333,0.362018,0.337651,0.279712
146,1.216667,0.362016,0.337631,0.279818
147,1.225000,0.362014,0.337624,0.279925
148,1.233333,0.362017,0.337606,0.280009
149,1.241667,0.362011,0.337595,0.280057
150,1.250000,0.362017,0.337591,0.280045
151,1.258333,0.362017,0.337609,0.279995
152,1.266667,0.362013,0.337628,0.279912
