Format Version,1.21,Take Name,monitor_elore_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.53.37 PM,Total Frames in Take,1634,Total Exported Frames,1634,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.355962,0.337538,0.390399
1,0.008333,0.355962,0.337544,0.390389
2,0.016667,0.355961,0.337545,0.390404
3,0.025000,0.355961,0.337526,0.390429
4,0.033333,0.355957,0.337526,0.390464
5,0.041667,0.355958,0.337523,0.390497
6,0.050000,0.355962,0.337521,0.390506
7,0.058333,0.355962,0.337521,0.390500
8,0.066667,0.355961,0.337523,0.390477
9,0.075000,0.355961,0.337531,0.390447
10,0.083333,0.355957,0.337535,0.390423
11,0.091667,0.355966,0.337531,0.390409
12,0.100000,0.355962,0.337529,0.390411
13,0.108333,0.355963,0.337528,0.390428
14,0.116667,0.355965,0.337525,0.390450
15,0.125000,0.355963,0.337522,0.390482
16,0.133333,0.355965,0.337509,0.390500
17,0.141667,0.355964,0.337518,0.390495
18,0.150000,0.355963,0.337515,0.390483
19,0.158333,0.355965,0.337516,0.390465
20,0.166667,0.355967,0.337524,0.390441
21,0.175000,0.355964,0.337535,0.390423
22,0.183333,0.355962,0.337532,0.390414
23,0.191667,0.355962,0.337521,0.390422
24,0.200000,0.355967,0.337523,0.390435
25,0.208333,0.355967,0.337526,0.390461
26,0.216667,0.355964,0.337515,0.390483
27,0.225000,0.355966,0.337506,0.390489
28,0.233333,0.355967,0.337514,0.390491
29,0.241667,0.355966,0.337520,0.390478
30,0.250000,0.355965,0.337517,0.390460
31,0.258333,0.355966,0.337518,0.390444
32,0.266667,0.355967,0.337526,0.390425
33,0.275000,0.355971,0.337529,0.390420
34,0.283333,0.355966,0.337521,0.390437
35,0.291667,0.355965,0.337515,0.390451
36,0.300000,0.355965,0.337518,0.390468
37,0.308333,0.355963,0.337518,0.390482
38,0.316667,0.355963,0.337518,0.390483
39,0.325000,0.355964,0.337520,0.390477
40,0.333333,0.355960,0.337522,0.390466
41,0.341667,0.355960,0.337527,0.390450
42,0.350000,0.355959,0.337533,0.390436
43,0.358333,0.355955,0.337534,0.390428
44,0.366667,0.355958,0.337533,0.390428
45,0.375000,0.355958,0.337538,0.390438
46,0.383333,0.355958,0.337539,0.390452
