Format Version,1.21,Take Name,monitor_hatra,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.05.19 PM,Total Frames in Take,2517,Total Exported Frames,2517,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.366613,0.336991,0.890003
1,0.008333,0.366619,0.336966,0.890095
2,0.016667,0.366611,0.336939,0.890225
3,0.025000,0.366622,0.336901,0.890384
4,0.033333,0.366630,0.336869,0.890550
5,0.041667,0.366629,0.336833,0.890711
6,0.050000,0.366626,0.336800,0.890842
7,0.058333,0.366627,0.336775,0.890948
8,0.066667,0.366624,0.336749,0.891040
9,0.075000,0.366628,0.336736,0.891118
10,0.083333,0.366623,0.336730,0.891131
11,0.091667,0.366627,0.336750,0.891030
12,0.100000,0.366634,0.336806,0.890780
13,0.108333,0.366626,0.336881,0.890423
14,0.116667,0.366624,0.336991,0.890026
15,0.125000,0.366621,0.337059,0.889717
16,0.133333,0.366624,0.337090,0.889558
17,0.141667,0.366622,0.337089,0.889618
18,0.150000,0.366620,0.337043,0.889877
19,0.158333,0.366621,0.336933,0.890291
20,0.166667,0.366637,0.336835,0.890755
21,0.175000,0.366620,0.336753,0.891141
22,0.183333,0.366625,0.336718,0.891355
23,0.191667,0.366621,0.336708,0.891396
24,0.200000,0.366623,0.336730,0.891247
25,0.208333,0.366623,0.336796,0.890933
26,0.216667,0.366631,0.336887,0.890540
27,0.225000,0.366621,0.336965,0.890149
28,0.233333,0.366623,0.337033,0.889893
29,0.241667,0.366625,0.337054,0.889804
30,0.250000,0.366617,0.337037,0.889892
31,0.258333,0.366619,0.336973,0.890142
32,0.266667,0.366632,0.336895,0.890497
33,0.275000,0.366628,0.336815,0.890836
34,0.283333,0.366626,0.336761,0.891106
35,0.291667,0.366623,0.336743,0.891227
36,0.300000,0.366625,0.336743,0.891211
37,0.308333,0.366621,0.336768,0.891056
38,0.316667,0.366626,0.336834,0.890799
39,0.325000,0.366626,0.336895,0.890505
40,0.333333,0.366616,0.336941,0.890253
41,0.341667,0.366618,0.336979,0.890106
42,0.350000,0.366624,0.336983,0.890102
43,0.358333,0.366623,0.336950,0.890230
44,0.366667,0.366627,0.336899,0.890461
45,0.375000,0.366634,0.336849,0.890712
46,0.383333,0.366630,0.336802,0.890930
47,0.391667,0.366624,0.336764,0.891060
48,0.400000,0.366630,0.336759,0.891078
49,0.408333,0.366625,0.336789,0.890989
50,0.416667,0.366631,0.336828,0.890809
51,0.425000,0.366631,0.336881,0.890593
52,0.433333,0.366620,0.336919,0.890391
53,0.441667,0.366616,0.336946,0.890263
54,0.450000,0.366612,0.336954,0.890233
55,0.458333,0.366617,0.336934,0.890305
56,0.466667,0.366622,0.336911,0.890466
57,0.475000,0.366629,0.336869,0.890658
58,0.483333,0.366623,0.336827,0.890828
59,0.491667,0.366627,0.336798,0.890938
60,0.500000,0.366623,0.336797,0.890970
61,0.508333,0.366632,0.336805,0.890908
62,0.516667,0.366634,0.336835,0.890788
63,0.525000,0.366639,0.336867,0.890624
64,0.533333,0.366631,0.336897,0.890467
65,0.541667,0.366627,0.336920,0.890359
66,0.550000,0.366625,0.336922,0.890329
67,0.558333,0.366628,0.336915,0.890374
68,0.566667,0.366632,0.336891,0.890491
69,0.575000,0.366637,0.336862,0.890640
70,0.583333,0.366636,0.336834,0.890773
71,0.591667,0.366634,0.336816,0.890868
72,0.600000,0.366633,0.336804,0.890893
73,0.608333,0.366636,0.336815,0.890847
74,0.616667,0.366637,0.336841,0.890757
75,0.625000,0.366632,0.336869,0.890629
76,0.633333,0.366632,0.336895,0.890512
77,0.641667,0.366623,0.336902,0.890424
78,0.650000,0.366624,0.336915,0.890397
79,0.658333,0.366623,0.336904,0.890436
80,0.666667,0.366631,0.336886,0.890529
81,0.675000,0.366641,0.336865,0.890638
82,0.683333,0.366631,0.336842,0.890742
83,0.691667,0.366632,0.336828,0.890816
84,0.700000,0.366631,0.336819,0.890840
85,0.708333,0.366634,0.336827,0.890810
86,0.716667,0.366633,0.336851,0.890729
87,0.725000,0.366632,0.336868,0.890628
88,0.733333,0.366624,0.336882,0.890535
89,0.741667,0.366630,0.336899,0.890473
90,0.750000,0.366628,0.336911,0.890452
91,0.758333,0.366625,0.336897,0.890480
92,0.766667,0.366635,0.336881,0.890553
93,0.775000,0.366628,0.336865,0.890643
94,0.783333,0.366636,0.336855,0.890728
95,0.791667,0.366633,0.336835,0.890780
96,0.800000,0.366634,0.336832,0.890796
97,0.808333,0.366628,0.336843,0.890765
98,0.816667,0.366629,0.336858,0.890704
99,0.825000,0.366629,0.336867,0.890624
100,0.833333,0.366628,0.336888,0.890542
101,0.841667,0.366629,0.336895,0.890498
102,0.850000,0.366629,0.336901,0.890488
103,0.858333,0.366632,0.336891,0.890522
104,0.866667,0.366635,0.336876,0.890579
105,0.875000,0.366632,0.336863,0.890651
106,0.883333,0.366629,0.336852,0.890713
107,0.891667,0.366636,0.336842,0.890755
108,0.900000,0.366630,0.336840,0.890762
109,0.908333,0.366631,0.336845,0.890734
110,0.916667,0.366630,0.336860,0.890679
111,0.925000,0.366627,0.336876,0.890617
112,0.933333,0.366632,0.336876,0.890560
113,0.941667,0.366629,0.336893,0.890523
114,0.950000,0.366630,0.336896,0.890523
115,0.958333,0.366631,0.336886,0.890544
116,0.966667,0.366628,0.336875,0.890603
117,0.975000,0.366632,0.336863,0.890659
118,0.983333,0.366631,0.336853,0.890711
119,0.991667,0.366633,0.336847,0.890735
120,1.000000,0.366631,0.336847,0.890737
121,1.008333,0.366630,0.336848,0.890706
122,1.016667,0.366633,0.336857,0.890665
123,1.025000,0.366629,0.336870,0.890612
124,1.033333,0.366628,0.336881,0.890567
125,1.041667,0.366628,0.336881,0.890547
126,1.050000,0.366628,0.336883,0.890551
127,1.058333,0.366627,0.336884,0.890580
128,1.066667,0.366626,0.336870,0.890621
129,1.075000,0.366630,0.336858,0.890666
130,1.083333,0.366627,0.336848,0.890704
131,1.091667,0.366630,0.336848,0.890727
132,1.100000,0.366634,0.336846,0.890723
133,1.108333,0.366629,0.336854,0.890689
134,1.116667,0.366627,0.336863,0.890656
135,1.125000,0.366628,0.336871,0.890615
136,1.133333,0.366630,0.336876,0.890582
137,1.141667,0.366627,0.336875,0.890572
138,1.150000,0.366625,0.336879,0.890573
139,1.158333,0.366624,0.336877,0.890601
140,1.166667,0.366628,0.336865,0.890636
141,1.175000,0.366619,0.336857,0.890671
142,1.183333,0.366622,0.336856,0.890703
143,1.191667,0.366623,0.336855,0.890713
144,1.200000,0.366627,0.336854,0.890707
145,1.208333,0.366624,0.336860,0.890685
146,1.216667,0.366620,0.336870,0.890646
147,1.225000,0.366625,0.336880,0.890616
148,1.233333,0.366628,0.336879,0.890595
149,1.241667,0.366628,0.336872,0.890586
150,1.250000,0.366626,0.336880,0.890595
151,1.258333,0.366623,0.336878,0.890614
152,1.266667,0.366628,0.336870,0.890641
