Format Version,1.21,Take Name,monitor_hatra_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.55.24 PM,Total Frames in Take,1875,Total Exported Frames,1875,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.362593,0.335719,0.878758
1,0.008333,0.362600,0.335717,0.878787
2,0.016667,0.362592,0.335712,0.878805
3,0.025000,0.362592,0.335710,0.878798
4,0.033333,0.362597,0.335713,0.878775
5,0.041667,0.362597,0.335719,0.878752
6,0.050000,0.362596,0.335722,0.878724
7,0.058333,0.362597,0.335729,0.878707
8,0.066667,0.362595,0.335727,0.878710
9,0.075000,0.362597,0.335726,0.878724
10,0.083333,0.362598,0.335722,0.878747
11,0.091667,0.362596,0.335718,0.878776
12,0.100000,0.362598,0.335714,0.878791
13,0.108333,0.362594,0.335707,0.878792
14,0.116667,0.362595,0.335716,0.878784
15,0.125000,0.362590,0.335715,0.878759
16,0.133333,0.362594,0.335722,0.878740
17,0.141667,0.362596,0.335729,0.878720
18,0.150000,0.362595,0.335726,0.878713
19,0.158333,0.362599,0.335726,0.878724
20,0.166667,0.362595,0.335724,0.878743
21,0.175000,0.362594,0.335719,0.878764
22,0.183333,0.362594,0.335711,0.878782
23,0.191667,0.362595,0.335709,0.878793
24,0.200000,0.362595,0.335717,0.878784
25,0.208333,0.362592,0.335725,0.878770
26,0.216667,0.362597,0.335720,0.878752
27,0.225000,0.362592,0.335722,0.878735
28,0.233333,0.362595,0.335725,0.878726
29,0.241667,0.362597,0.335722,0.878729
30,0.250000,0.362592,0.335724,0.878741
31,0.258333,0.362598,0.335714,0.878759
32,0.266667,0.362592,0.335716,0.878777
33,0.275000,0.362591,0.335712,0.878789
34,0.283333,0.362597,0.335713,0.878782
35,0.291667,0.362592,0.335719,0.878773
36,0.300000,0.362594,0.335715,0.878759
37,0.308333,0.362593,0.335718,0.878744
38,0.316667,0.362595,0.335719,0.878732
39,0.325000,0.362590,0.335727,0.878731
40,0.333333,0.362596,0.335720,0.878740
41,0.341667,0.362597,0.335714,0.878757
42,0.350000,0.362589,0.335718,0.878765
43,0.358333,0.362594,0.335720,0.878777
44,0.366667,0.362598,0.335710,0.878779
45,0.375000,0.362596,0.335715,0.878776
46,0.383333,0.362590,0.335723,0.878760
47,0.391667,0.362594,0.335725,0.878750
48,0.400000,0.362595,0.335720,0.878741
49,0.408333,0.362595,0.335724,0.878733
50,0.416667,0.362590,0.335733,0.878742
51,0.425000,0.362596,0.335727,0.878751
52,0.433333,0.362591,0.335715,0.878763
53,0.441667,0.362596,0.335719,0.878770
54,0.450000,0.362589,0.335720,0.878777
55,0.458333,0.362597,0.335719,0.878770
56,0.466667,0.362595,0.335716,0.878764
57,0.475000,0.362594,0.335719,0.878753
58,0.483333,0.362589,0.335727,0.878749
59,0.491667,0.362589,0.335721,0.878740
60,0.500000,0.362592,0.335725,0.878743
61,0.508333,0.362594,0.335721,0.878749
62,0.516667,0.362589,0.335722,0.878761
63,0.525000,0.362593,0.335717,0.878767
64,0.533333,0.362596,0.335714,0.878776
65,0.541667,0.362592,0.335717,0.878773
66,0.550000,0.362596,0.335720,0.878769
67,0.558333,0.362596,0.335719,0.878763
68,0.566667,0.362594,0.335716,0.878754
69,0.575000,0.362599,0.335722,0.878747
70,0.583333,0.362597,0.335722,0.878747
71,0.591667,0.362594,0.335718,0.878752
72,0.600000,0.362591,0.335719,0.878760
73,0.608333,0.362593,0.335721,0.878768
74,0.616667,0.362596,0.335716,0.878771
75,0.625000,0.362599,0.335711,0.878778
76,0.633333,0.362598,0.335712,0.878774
77,0.641667,0.362592,0.335716,0.878769
78,0.650000,0.362591,0.335718,0.878760
79,0.658333,0.362590,0.335718,0.878752
80,0.666667,0.362596,0.335717,0.878753
81,0.675000,0.362591,0.335714,0.878748
82,0.683333,0.362594,0.335714,0.878757
83,0.691667,0.362596,0.335712,0.878766
84,0.700000,0.362593,0.335719,0.878770
85,0.708333,0.362591,0.335714,0.878779
86,0.716667,0.362594,0.335712,0.878779
87,0.725000,0.362592,0.335711,0.878766
88,0.733333,0.362596,0.335720,0.878763
89,0.741667,0.362588,0.335720,0.878755
90,0.750000,0.362593,0.335714,0.878753
91,0.758333,0.362590,0.335723,0.878753
92,0.766667,0.362590,0.335716,0.878759
93,0.775000,0.362599,0.335722,0.878760
94,0.783333,0.362593,0.335720,0.878761
95,0.791667,0.362595,0.335716,0.878768
96,0.800000,0.362595,0.335713,0.878771
97,0.808333,0.362594,0.335716,0.878767
98,0.816667,0.362593,0.335719,0.878762
99,0.825000,0.362595,0.335717,0.878758
100,0.833333,0.362589,0.335716,0.878755
101,0.841667,0.362599,0.335715,0.878756
102,0.850000,0.362592,0.335718,0.878759
103,0.858333,0.362598,0.335717,0.878762
104,0.866667,0.362604,0.335719,0.878779
105,0.875000,0.362604,0.335716,0.878776
106,0.883333,0.362610,0.335714,0.878775
107,0.891667,0.362610,0.335716,0.878771
108,0.900000,0.362611,0.335721,0.878764
109,0.908333,0.362613,0.335723,0.878760
110,0.916667,0.362618,0.335718,0.878757
111,0.925000,0.362617,0.335725,0.878761
112,0.933333,0.362616,0.335719,0.878763
113,0.941667,0.362615,0.335719,0.878765
114,0.950000,0.362621,0.335716,0.878770
115,0.958333,0.362619,0.335725,0.878774
116,0.966667,0.362625,0.335724,0.878774
117,0.975000,0.362614,0.335720,0.878773
118,0.983333,0.362623,0.335718,0.878766
119,0.991667,0.362628,0.335726,0.878757
120,1.000000,0.362633,0.335732,0.878755
121,1.008333,0.362638,0.335727,0.878753
122,1.016667,0.362643,0.335730,0.878755
123,1.025000,0.362638,0.335730,0.878758
124,1.033333,0.362645,0.335730,0.878762
125,1.041667,0.362644,0.335731,0.878761
126,1.050000,0.362651,0.335735,0.878765
127,1.058333,0.362655,0.335734,0.878760
128,1.066667,0.362654,0.335737,0.878758
129,1.075000,0.362655,0.335740,0.878749
130,1.083333,0.362660,0.335738,0.878751
131,1.091667,0.362668,0.335740,0.878744
132,1.100000,0.362669,0.335744,0.878745
133,1.108333,0.362672,0.335744,0.878746
134,1.116667,0.362674,0.335741,0.878749
135,1.125000,0.362680,0.335747,0.878748
136,1.133333,0.362690,0.335749,0.878749
137,1.141667,0.362689,0.335746,0.878751
138,1.150000,0.362691,0.335747,0.878744
139,1.158333,0.362701,0.335754,0.878738
140,1.166667,0.362705,0.335758,0.878734
141,1.175000,0.362707,0.335757,0.878736
142,1.183333,0.362702,0.335764,0.878735
143,1.191667,0.362712,0.335765,0.878737
144,1.200000,0.362704,0.335757,0.878741
145,1.208333,0.362711,0.335753,0.878744
146,1.216667,0.362711,0.335761,0.878743
147,1.225000,0.362713,0.335761,0.878746
148,1.233333,0.362711,0.335755,0.878743
149,1.241667,0.362710,0.335763,0.878738
150,1.250000,0.362711,0.335759,0.878739
151,1.258333,0.362714,0.335757,0.878738
152,1.266667,0.362715,0.335756,0.878734
