Format Version,1.21,Take Name,pen_elore,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.20.21 PM,Total Frames in Take,1596,Total Exported Frames,1596,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.359702,0.336274,0.305756
1,0.008333,0.359706,0.336267,0.305796
2,0.016667,0.359703,0.336261,0.305827
3,0.025000,0.359706,0.336257,0.305829
4,0.033333,0.359707,0.336262,0.305809
5,0.041667,0.359704,0.336268,0.305777
6,0.050000,0.359702,0.336277,0.305749
7,0.058333,0.359708,0.336281,0.305721
8,0.066667,0.359703,0.336282,0.305729
9,0.075000,0.359702,0.336281,0.305745
10,0.083333,0.359703,0.336269,0.305778
11,0.091667,0.359705,0.336262,0.305803
12,0.100000,0.359701,0.336262,0.305822
13,0.108333,0.359702,0.336264,0.305817
14,0.116667,0.359706,0.336267,0.305797
15,0.125000,0.359707,0.336270,0.305775
16,0.133333,0.359705,0.336279,0.305744
17,0.141667,0.359704,0.336281,0.305735
18,0.150000,0.359703,0.336275,0.305733
19,0.158333,0.359702,0.336279,0.305756
20,0.166667,0.359704,0.336270,0.305784
21,0.175000,0.359706,0.336261,0.305802
22,0.183333,0.359706,0.336263,0.305811
23,0.191667,0.359707,0.336267,0.305801
24,0.200000,0.359702,0.336269,0.305787
25,0.208333,0.359703,0.336274,0.305764
26,0.216667,0.359704,0.336281,0.305746
27,0.225000,0.359705,0.336280,0.305741
28,0.233333,0.359708,0.336280,0.305745
29,0.241667,0.359706,0.336272,0.305766
30,0.250000,0.359706,0.336270,0.305786
31,0.258333,0.359705,0.336266,0.305806
32,0.266667,0.359703,0.336270,0.305805
33,0.275000,0.359707,0.336267,0.305796
34,0.283333,0.359706,0.336269,0.305777
35,0.291667,0.359706,0.336282,0.305757
36,0.300000,0.359702,0.336280,0.305750
37,0.308333,0.359703,0.336283,0.305745
38,0.316667,0.359705,0.336274,0.305762
39,0.325000,0.359706,0.336272,0.305776
40,0.333333,0.359709,0.336275,0.305787
41,0.341667,0.359707,0.336268,0.305795
42,0.350000,0.359703,0.336272,0.305797
43,0.358333,0.359707,0.336267,0.305791
44,0.366667,0.359707,0.336274,0.305770
45,0.375000,0.359708,0.336275,0.305757
46,0.383333,0.359708,0.336281,0.305751
47,0.391667,0.359708,0.336281,0.305751
48,0.400000,0.359710,0.336279,0.305765
49,0.408333,0.359712,0.336273,0.305782
50,0.416667,0.359704,0.336272,0.305791
51,0.425000,0.359709,0.336269,0.305798
52,0.433333,0.359712,0.336265,0.305790
53,0.441667,0.359712,0.336273,0.305783
54,0.450000,0.359709,0.336276,0.305771
55,0.458333,0.359710,0.336272,0.305763
56,0.466667,0.359711,0.336278,0.305756
57,0.475000,0.359709,0.336278,0.305759
58,0.483333,0.359712,0.336275,0.305768
59,0.491667,0.359709,0.336275,0.305781
60,0.500000,0.359708,0.336270,0.305790
61,0.508333,0.359709,0.336269,0.305795
62,0.516667,0.359709,0.336272,0.305785
63,0.525000,0.359712,0.336270,0.305776
64,0.533333,0.359713,0.336280,0.305769
65,0.541667,0.359708,0.336280,0.305768
66,0.550000,0.359711,0.336280,0.305759
67,0.558333,0.359713,0.336274,0.305768
68,0.566667,0.359711,0.336269,0.305775
69,0.575000,0.359714,0.336272,0.305785
70,0.583333,0.359710,0.336271,0.305791
71,0.591667,0.359711,0.336270,0.305794
72,0.600000,0.359716,0.336273,0.305779
73,0.608333,0.359713,0.336271,0.305775
74,0.616667,0.359715,0.336277,0.305761
75,0.625000,0.359715,0.336277,0.305761
76,0.633333,0.359713,0.336276,0.305768
77,0.641667,0.359709,0.336276,0.305772
78,0.650000,0.359711,0.336271,0.305785
79,0.658333,0.359710,0.336272,0.305789
80,0.666667,0.359715,0.336271,0.305789
81,0.675000,0.359714,0.336274,0.305787
82,0.683333,0.359717,0.336272,0.305775
83,0.691667,0.359712,0.336272,0.305771
84,0.700000,0.359714,0.336277,0.305763
85,0.708333,0.359714,0.336279,0.305765
86,0.716667,0.359712,0.336277,0.305768
87,0.725000,0.359715,0.336275,0.305775
88,0.733333,0.359710,0.336275,0.305781
89,0.741667,0.359712,0.336275,0.305786
90,0.750000,0.359711,0.336274,0.305787
91,0.758333,0.359713,0.336276,0.305784
92,0.766667,0.359715,0.336269,0.305776
93,0.775000,0.359715,0.336277,0.305769
94,0.783333,0.359710,0.336273,0.305772
95,0.791667,0.359716,0.336276,0.305772
96,0.800000,0.359715,0.336278,0.305777
97,0.808333,0.359712,0.336273,0.305783
98,0.816667,0.359713,0.336276,0.305779
99,0.825000,0.359714,0.336271,0.305787
100,0.833333,0.359711,0.336273,0.305786
101,0.841667,0.359714,0.336274,0.305783
102,0.850000,0.359713,0.336272,0.305776
103,0.858333,0.359712,0.336276,0.305774
104,0.866667,0.359713,0.336278,0.305768
105,0.875000,0.359712,0.336272,0.305775
106,0.883333,0.359715,0.336272,0.305781
107,0.891667,0.359712,0.336276,0.305782
108,0.900000,0.359711,0.336267,0.305790
109,0.908333,0.359715,0.336270,0.305787
110,0.916667,0.359717,0.336273,0.305784
111,0.925000,0.359713,0.336277,0.305778
112,0.933333,0.359713,0.336275,0.305771
113,0.941667,0.359715,0.336269,0.305777
114,0.950000,0.359715,0.336275,0.305775
115,0.958333,0.359713,0.336279,0.305777
116,0.966667,0.359714,0.336272,0.305780
117,0.975000,0.359713,0.336268,0.305784
118,0.983333,0.359718,0.336273,0.305784
119,0.991667,0.359710,0.336272,0.305782
120,1.000000,0.359712,0.336270,0.305779
121,1.008333,0.359715,0.336269,0.305776
122,1.016667,0.359713,0.336276,0.305775
123,1.025000,0.359714,0.336276,0.305775
124,1.033333,0.359715,0.336274,0.305774
125,1.041667,0.359717,0.336270,0.305781
126,1.050000,0.359715,0.336272,0.305782
127,1.058333,0.359716,0.336271,0.305781
128,1.066667,0.359719,0.336270,0.305785
129,1.075000,0.359712,0.336270,0.305785
130,1.083333,0.359717,0.336274,0.305775
131,1.091667,0.359713,0.336277,0.305776
132,1.100000,0.359713,0.336271,0.305778
133,1.108333,0.359715,0.336271,0.305775
134,1.116667,0.359713,0.336276,0.305777
135,1.125000,0.359711,0.336273,0.305778
136,1.133333,0.359716,0.336276,0.305785
137,1.141667,0.359712,0.336275,0.305785
138,1.150000,0.359712,0.336275,0.305784
139,1.158333,0.359711,0.336271,0.305783
140,1.166667,0.359711,0.336272,0.305783
141,1.175000,0.359713,0.336274,0.305780
142,1.183333,0.359712,0.336279,0.305777
143,1.191667,0.359715,0.336273,0.305775
144,1.200000,0.359712,0.336278,0.305777
145,1.208333,0.359712,0.336273,0.305781
146,1.216667,0.359712,0.336269,0.305783
147,1.225000,0.359713,0.336273,0.305785
148,1.233333,0.359713,0.336271,0.305784
149,1.241667,0.359713,0.336274,0.305780
150,1.250000,0.359714,0.336271,0.305775
151,1.258333,0.359713,0.336276,0.305775
152,1.266667,0.359712,0.336277,0.305780
