Format Version,1.21,Take Name,pen_hatra,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-11-22 02.22.49 PM,Total Frames in Take,1760,Total Exported Frames,1760,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.371703,0.336093,0.946425
1,0.008333,0.371698,0.336117,0.946321
2,0.016667,0.371701,0.336121,0.946310
3,0.025000,0.371696,0.336113,0.946379
4,0.033333,0.371701,0.336083,0.946504
5,0.041667,0.371701,0.336051,0.946644
6,0.050000,0.371695,0.336035,0.946760
7,0.058333,0.371694,0.336019,0.946812
8,0.066667,0.371692,0.336016,0.946800
9,0.075000,0.371693,0.336035,0.946714
10,0.083333,0.371696,0.336065,0.946597
11,0.091667,0.371703,0.336093,0.946474
12,0.100000,0.371702,0.336107,0.946394
13,0.108333,0.371704,0.336102,0.946374
14,0.116667,0.371704,0.336102,0.946426
15,0.125000,0.371700,0.336087,0.946513
16,0.133333,0.371703,0.336063,0.946629
17,0.141667,0.371696,0.336033,0.946718
18,0.150000,0.371692,0.336029,0.946770
19,0.158333,0.371690,0.336031,0.946757
20,0.166667,0.371696,0.336040,0.946696
21,0.175000,0.371694,0.336059,0.946606
22,0.183333,0.371697,0.336086,0.946510
23,0.191667,0.371699,0.336095,0.946442
24,0.200000,0.371703,0.336101,0.946429
25,0.208333,0.371702,0.336092,0.946461
26,0.216667,0.371697,0.336075,0.946537
27,0.225000,0.371700,0.336056,0.946624
28,0.233333,0.371694,0.336039,0.946695
29,0.241667,0.371690,0.336037,0.946735
30,0.250000,0.371691,0.336040,0.946722
31,0.258333,0.371692,0.336044,0.946669
32,0.266667,0.371697,0.336063,0.946602
33,0.275000,0.371699,0.336079,0.946532
34,0.283333,0.371698,0.336092,0.946479
35,0.291667,0.371698,0.336094,0.946463
36,0.300000,0.371701,0.336088,0.946493
37,0.308333,0.371691,0.336069,0.946549
38,0.316667,0.371697,0.336064,0.946616
39,0.325000,0.371692,0.336045,0.946677
40,0.333333,0.371694,0.336041,0.946709
41,0.341667,0.371695,0.336040,0.946696
42,0.350000,0.371696,0.336053,0.946659
43,0.358333,0.371691,0.336065,0.946600
44,0.366667,0.371697,0.336070,0.946542
45,0.375000,0.371698,0.336083,0.946498
46,0.383333,0.371700,0.336089,0.946493
47,0.391667,0.371698,0.336081,0.946519
48,0.400000,0.371700,0.336067,0.946570
49,0.408333,0.371698,0.336056,0.946619
50,0.416667,0.371692,0.336051,0.946666
51,0.425000,0.371694,0.336040,0.946687
52,0.433333,0.371691,0.336043,0.946679
53,0.441667,0.371693,0.336051,0.946651
54,0.450000,0.371698,0.336061,0.946603
55,0.458333,0.371701,0.336068,0.946555
56,0.466667,0.371701,0.336073,0.946526
57,0.475000,0.371698,0.336076,0.946522
58,0.483333,0.371695,0.336071,0.946541
59,0.491667,0.371696,0.336061,0.946585
60,0.500000,0.371694,0.336057,0.946623
61,0.508333,0.371696,0.336048,0.946658
62,0.516667,0.371692,0.336042,0.946673
63,0.525000,0.371693,0.336045,0.946667
64,0.533333,0.371699,0.336053,0.946638
65,0.541667,0.371699,0.336066,0.946599
66,0.550000,0.371694,0.336064,0.946559
67,0.558333,0.371696,0.336066,0.946543
68,0.566667,0.371699,0.336079,0.946542
69,0.575000,0.371699,0.336071,0.946559
70,0.583333,0.371696,0.336061,0.946593
71,0.591667,0.371694,0.336053,0.946627
72,0.600000,0.371692,0.336053,0.946652
73,0.608333,0.371695,0.336052,0.946660
74,0.616667,0.371699,0.336048,0.946657
75,0.625000,0.371698,0.336055,0.946632
76,0.633333,0.371697,0.336063,0.946599
77,0.641667,0.371696,0.336066,0.946569
78,0.650000,0.371698,0.336065,0.946554
79,0.658333,0.371696,0.336074,0.946557
80,0.666667,0.371693,0.336065,0.946575
81,0.675000,0.371696,0.336056,0.946603
82,0.683333,0.371696,0.336052,0.946627
83,0.691667,0.371698,0.336052,0.946656
84,0.700000,0.371690,0.336052,0.946653
85,0.708333,0.371694,0.336049,0.946644
86,0.716667,0.371692,0.336059,0.946624
87,0.725000,0.371699,0.336062,0.946597
88,0.733333,0.371696,0.336063,0.946575
89,0.741667,0.371704,0.336067,0.946565
90,0.750000,0.371696,0.336068,0.946570
91,0.758333,0.371699,0.336062,0.946584
92,0.766667,0.371692,0.336062,0.946606
93,0.775000,0.371698,0.336051,0.946630
94,0.783333,0.371699,0.336055,0.946649
95,0.791667,0.371698,0.336049,0.946649
96,0.800000,0.371695,0.336054,0.946640
97,0.808333,0.371699,0.336061,0.946622
98,0.816667,0.371698,0.336060,0.946600
99,0.825000,0.371702,0.336064,0.946585
100,0.833333,0.371701,0.336064,0.946577
101,0.841667,0.371699,0.336069,0.946581
102,0.850000,0.371699,0.336063,0.946597
103,0.858333,0.371707,0.336064,0.946618
104,0.866667,0.371707,0.336062,0.946633
105,0.875000,0.371704,0.336055,0.946639
106,0.883333,0.371712,0.336056,0.946634
107,0.891667,0.371713,0.336057,0.946625
108,0.900000,0.371713,0.336060,0.946612
109,0.908333,0.371717,0.336064,0.946601
110,0.916667,0.371725,0.336067,0.946593
111,0.925000,0.371728,0.336067,0.946590
112,0.933333,0.371726,0.336065,0.946599
113,0.941667,0.371730,0.336062,0.946609
114,0.950000,0.371732,0.336059,0.946622
115,0.958333,0.371736,0.336051,0.946633
116,0.966667,0.371736,0.336054,0.946637
117,0.975000,0.371735,0.336057,0.946633
118,0.983333,0.371733,0.336060,0.946625
119,0.991667,0.371741,0.336061,0.946616
120,1.000000,0.371736,0.336064,0.946602
121,1.008333,0.371742,0.336064,0.946598
122,1.016667,0.371742,0.336065,0.946599
123,1.025000,0.371739,0.336065,0.946606
124,1.033333,0.371743,0.336062,0.946618
125,1.041667,0.371748,0.336061,0.946630
126,1.050000,0.371748,0.336059,0.946632
127,1.058333,0.371753,0.336054,0.946638
128,1.066667,0.371759,0.336058,0.946632
129,1.075000,0.371763,0.336064,0.946623
130,1.083333,0.371763,0.336067,0.946612
131,1.091667,0.371773,0.336069,0.946604
132,1.100000,0.371781,0.336074,0.946597
133,1.108333,0.371777,0.336071,0.946591
134,1.116667,0.371789,0.336074,0.946599
135,1.125000,0.371798,0.336078,0.946603
136,1.133333,0.371807,0.336073,0.946614
137,1.141667,0.371814,0.336071,0.946621
138,1.150000,0.371825,0.336073,0.946620
139,1.158333,0.371835,0.336080,0.946616
140,1.166667,0.371843,0.336083,0.946603
141,1.175000,0.371846,0.336090,0.946595
142,1.183333,0.371848,0.336085,0.946587
143,1.191667,0.371852,0.336093,0.946587
144,1.200000,0.371856,0.336091,0.946582
145,1.208333,0.371865,0.336093,0.946590
146,1.216667,0.371862,0.336086,0.946604
147,1.225000,0.371853,0.336089,0.946606
148,1.233333,0.371858,0.336085,0.946612
149,1.241667,0.371857,0.336087,0.946611
150,1.250000,0.371866,0.336085,0.946611
151,1.258333,0.371858,0.336092,0.946601
152,1.266667,0.371861,0.336094,0.946600
